pdf_id,file_name,state,district,year,format_id,source_pdf,source_page_start,source_page_end
agra_civic_1971,agra_civic_1971.pdf,Uttar Pradesh,Agra,1971,format_001,1971 Agra.pdf,28,29
agra_mededu_1971,agra_mededu_1971.pdf,Uttar Pradesh,Agra,1971,format_002,1971 Agra.pdf,30,31
agra_tehsil_1971,agra_tehsil_1971.pdf,Uttar Pradesh,Agra,1971,format_003,1971 Agra.pdf,170,171
aligarh_civic_1971,aligarh_civic_1971.pdf,Uttar Pradesh,Aligarh,1971,format_001,1971 Aligarh.pdf,24,25
aligarh_mededu_1971,aligarh_mededu_1971.pdf,Uttar Pradesh,Aligarh,1971,format_002,1971 Aligarh.pdf,26,27
aligarh_tehsil_1971,aligarh_tehsil_1971.pdf,Uttar Pradesh,Aligarh,1971,format_003,1971 Aligarh.pdf,214,215
allahabad_civic_1971,allahabad_civic_1971.pdf,Uttar Pradesh,Allahabad,1971,format_001,1971 Allahabad.pdf,25,26
allahabad_mededu_1971,allahabad_mededu_1971.pdf,Uttar Pradesh,Allahabad,1971,format_002,1971 Allahabad.pdf,27,28
allahabad_tehsil_1971,allahabad_tehsil_1971.pdf,Uttar Pradesh,Allahabad,1971,format_003,1971 Allahabad.pdf,413,414
almora_civic_1971,almora_civic_1971.pdf,Uttar Pradesh,Almora,1971,format_001,1971 Almora.pdf,21,22
almora_mededu_1971,almora_mededu_1971.pdf,Uttar Pradesh,Almora,1971,format_002,1971 Almora.pdf,21,22
almora_tehsil_1971,almora_tehsil_1971.pdf,Uttar Pradesh,Almora,1971,format_003,1971 Almora.pdf,329,330
azamgarh_civic_1971,azamgarh_civic_1971.pdf,Uttar Pradesh,Azamgarh,1971,format_001,1971 Azamgarh.pdf,23,24
azamgarh_mededu_1971,azamgarh_mededu_1971.pdf,Uttar Pradesh,Azamgarh,1971,format_002,1971 Azamgarh.pdf,25,26
azamgarh_tehsil_1971,azamgarh_tehsil_1971.pdf,Uttar Pradesh,Azamgarh,1971,format_003,1971 Azamgarh.pdf,549,550
bahraich_civic_1971,bahraich_civic_1971.pdf,Uttar Pradesh,Bahraich,1971,format_001,1971 Bahraich.pdf,25,26
bahraich_mededu_1971,bahraich_mededu_1971.pdf,Uttar Pradesh,Bahraich,1971,format_002,1971 Bahraich.pdf,25,26
bahraich_tehsil_1971,bahraich_tehsil_1971.pdf,Uttar Pradesh,Bahraich,1971,format_003,1971 Bahraich.pdf,209,210
baliya_civic_1971,baliya_civic_1971.pdf,Uttar Pradesh,Baliya,1971,format_001,1971 Baliya.pdf,27,28
baliya_mededu_1971,baliya_mededu_1971.pdf,Uttar Pradesh,Baliya,1971,format_002,1971 Baliya.pdf,27,28
baliya_tehsil_1971,baliya_tehsil_1971.pdf,Uttar Pradesh,Baliya,1971,format_003,1971 Baliya.pdf,271,272
banda_civic_1971,banda_civic_1971.pdf,Uttar Pradesh,Banda,1971,format_001,1971 Banda.pdf,22,23
banda_mededu_1971,banda_mededu_1971.pdf,Uttar Pradesh,Banda,1971,format_002,1971 Banda.pdf,22,23
banda_tehsil_1971,banda_tehsil_1971.pdf,Uttar Pradesh,Banda,1971,format_003,1971 Banda.pdf,160,161
bara_banki_civic_1971,bara_banki_civic_1971.pdf,Uttar Pradesh,Bara Banki,1971,format_001,1971 Bara Banki.pdf,24,25
bara_banki_mededu_1971,bara_banki_mededu_1971.pdf,Uttar Pradesh,Bara Banki,1971,format_002,1971 Bara Banki.pdf,26,27
bara_banki_tehsil_1971,bara_banki_tehsil_1971.pdf,Uttar Pradesh,Bara Banki,1971,format_003,1971 Bara Banki.pdf,228,229
bareilly_civic_1971,bareilly_civic_1971.pdf,Uttar Pradesh,Bareilly,1971,format_001,1971 Bareilly.pdf,24,25
bareilly_mededu_1971,bareilly_mededu_1971.pdf,Uttar Pradesh,Bareilly,1971,format_002,1971 Bareilly.pdf,26,27
bareilly_tehsil_1971,bareilly_tehsil_1971.pdf,Uttar Pradesh,Bareilly,1971,format_003,1971 Bareilly.pdf,236,237
basti_civic_1971,basti_civic_1971.pdf,Uttar Pradesh,Basti,1971,format_001,1971 Basti.pdf,26,27
basti_mededu_1971,basti_mededu_1971.pdf,Uttar Pradesh,Basti,1971,format_002,1971 Basti.pdf,28,29
