sl_no,sl_no_flag,town_name,town_name_flag,road_length_km,road_length_km_flag,sewerage_drainage_system,sewerage_drainage_system_flag,water_borne_latrines,water_borne_latrines_flag,service_latrines,service_latrines_flag,other_latrines,other_latrines_flag,night_soil_disposal_method,night_soil_disposal_method_flag,water_source,water_source_flag,water_capacity,water_capacity_flag,fire_service,fire_service_flag,elec_domestic,elec_domestic_flag,elec_industrial,elec_industrial_flag,elec_commercial,elec_commercial_flag,elec_road_light,elec_road_light_flag,elec_other,elec_other_flag,pucca_road_km,kutcha_road_km,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
1,,Achhnera,,PR (12) KR (7),,PT/OSD,,166,,"2,580",,3,,HC/MT/B,,TW/OHT,,"78,558 Galls.",,Yes,,560,,22,,44,,200,,...,,12.0,,ORDINARY,,False,0,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
2,,Agra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Agra City Urban Agglomeration,False,1,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
3,,Agra Cantt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Agra City Urban Agglomeration,False,2,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
,,Agra City Urban Agglomeration,,PR (403) KR (58),,S/PT/OSD,,"3,677",,"68,263",,105,,MT/HL/B/HC,,W/TW/OHT,,"3,210,000 Galls.",,Yes,,"29,264",,"2,834",,"11,066",,"9,112",,...,,403.0,58.0,AGGREGATE,,False,3,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
(i),,Agra,,PR (374) KR (35),,S/OSD,,"2,571",,"58,924",,105,,MT/HC/B,,TW/OHT,,"2,500,000 Galls.",,Yes,,"25,764",,"2,762",,"10,173",,"7,985",,...,,374.0,35.0,COMPONENT,,False,4,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
(ii),,Agra Cantt.,,PR (22) KR (5),,PT/OSD,,708,,"8,000",,...,,B/MT,,TW/OHT,,"700,000 Galls.",,Yes,,"2,230",,20,,660,,930,,...,,22.0,5.0,COMPONENT,,False,5,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
(iii),,Dayalbagh,,PR (5) KR (17),,PT/OSD,,300,,"1,200",,...,,HC/B,,W/TW/OTH,,N. A.,,Yes,,"1,000",,50,,76,,185,,...,,,,COMPONENT,,False,6,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
(iv),,Swamibagh,,PR (2) KR (1),,PT/OSD,,38,,139,,...,,HL,,TW/OHT,,"10,000 Galls.",,...,,220,,2,,157,,12,,...,,2.0,1.0,COMPONENT,,False,7,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
4,,Bah,,PR (2) KR (1),,OSD,,...,,911,,...,,B/MT,,W,,...,,...,,548,,22,,91,,112,,...,,2.0,1.0,ORDINARY,,False,8,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
5,,Dayalbagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Agra City Urban Agglomeration,False,9,agra_civic_1971,Agra,Uttar Pradesh,1971,format_001,agra_civic_001,agra_civic_1971.pdf,8994d21fd413e9a953eda86ae7595e064fc6b246812093d835d084b30f96d192,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:00.705568+00:00
