sl_no,sl_no_flag,town_name,town_name_flag,hospitals_dispensaries,hospitals_dispensaries_flag,med_beds,med_beds_flag,degree_colleges,degree_colleges_flag,medical_colleges,medical_colleges_flag,engg_colleges,engg_colleges_flag,polytechnics,polytechnics_flag,vocational_institutes,vocational_institutes_flag,higher_secondary_schools,higher_secondary_schools_flag,middle_schools,middle_schools_flag,primary_schools,primary_schools_flag,other_edu_institutions,other_edu_institutions_flag,stadia,stadia_flag,cinemas,cinemas_flag,auditoria,auditoria_flag,libraries,libraries_flag,row_type,reference_target,requires_review,parent_row_index,subrow_index,subrow_count,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
1,,Achhnera,,H (2),,7,,,,,,,,,,,,2,,2,,6,,...,,...,,...,,...,,PL (3),,ORDINARY,,False,0,0,4,0,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
1,,Achhnera,,HC (1),,,,,,,,,,,,,,2,,2,,6,,...,,...,,...,,...,,PL (3),,ORDINARY,,False,0,1,4,1,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
1,,Achhnera,,D (2),,,,,,,,,,,,,,2,,2,,6,,...,,...,,...,,...,,PL (3),,ORDINARY,,False,0,2,4,2,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
1,,Achhnera,,FC (2),,4,,,,,,,,,,,,2,,2,,6,,...,,...,,...,,...,,PL (3),,ORDINARY,,False,0,3,4,3,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
2,,Agra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Agra City Urban Agglomeration,False,1,0,1,4,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,,,H (14),,"2,187",,A (2) AS (2) ASL (1) ASC (1) SC (1),,1,,1,,1,,Sh. type (6) O (2),,46,,73,,173,,2,,1,,15,,...,,PL (51) RR (53),,AGGREGATE,,False,2,0,5,5,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,,,D (19),,,,A (2) AS (2) ASL (1) ASC (1) SC (1),,1,,1,,1,,Sh. type (6) O (2),,46,,73,,173,,2,,1,,15,,...,,PL (51) RR (53),,AGGREGATE,,False,2,1,5,6,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,,,TBC (1),,20,,A (2) AS (2) ASL (1) ASC (1) SC (1),,1,,1,,1,,Sh. type (6) O (2),,46,,73,,173,,2,,1,,15,,...,,PL (51) RR (53),,AGGREGATE,,False,2,2,5,7,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,,,FC (8),,,,A (2) AS (2) ASL (1) ASC (1) SC (1),,1,,1,,1,,Sh. type (6) O (2),,46,,73,,173,,2,,1,,15,,...,,PL (51) RR (53),,AGGREGATE,,False,2,3,5,8,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,,,*O (2),,20,,A (2) AS (2) ASL (1) ASC (1) SC (1),,1,,1,,1,,Sh. type (6) O (2),,46,,73,,173,,2,,1,,15,,...,,PL (51) RR (53),,AGGREGATE,,False,2,4,5,9,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,Agra,,H (12),,"2,117",,A (1) ASL (1) ASC (1) AS (1),,,,,,,,Sh. type (3) O (2),,40,,70,,157,,...,,...,,13,,...,,PL (42) RR (47),,COMPONENT,,False,3,0,5,10,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,Agra,,D (14),,,,A (1) ASL (1) ASC (1) AS (1),,,,,,,,Sh. type (3) O (2),,40,,70,,157,,...,,...,,13,,...,,PL (42) RR (47),,COMPONENT,,False,3,1,5,11,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,Agra,,TBC (1),,20,,A (1) ASL (1) ASC (1) AS (1),,,,,,,,Sh. type (3) O (2),,40,,70,,157,,...,,...,,13,,...,,PL (42) RR (47),,COMPONENT,,False,3,2,5,12,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,Agra,,FC (6),,,,A (1) ASL (1) ASC (1) AS (1),,,,,,,,Sh. type (3) O (2),,40,,70,,157,,...,,...,,13,,...,,PL (42) RR (47),,COMPONENT,,False,3,3,5,13,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,Agra,,*O (2),,20,,A (1) ASL (1) ASC (1) AS (1),,,,,,,,Sh. type (3) O (2),,40,,70,,157,,...,,...,,13,,...,,PL (42) RR (47),,COMPONENT,,False,3,4,5,14,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,Agra Cantt.,,H (1),,25,,AS (1),,,,,,,,Sh. type (2),,3,,3,,14,,...,,1,,2,,...,,PL (3),,COMPONENT,,False,4,0,2,15,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
,,Agra Cantt.,,FC (1),,,,AS (1),,,,,,,,Sh. type (2),,3,,3,,14,,...,,1,,2,,...,,PL (3),,COMPONENT,,False,4,1,2,16,agra_mededu_1971,Agra,Uttar Pradesh,1971,format_002,agra_mededu_001,agra_mededu_1971.pdf,b19834743e6608eeb713ec63b6d4ce1bcfc82813cdd6b32c41204553bd07401f,30,31,12,13,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T19:24:36.810657+00:00
