sl_no,sl_no_flag,tahsil_name,tahsil_name_flag,junior_basic_villages,junior_basic_villages_flag,junior_basic_schools,junior_basic_schools_flag,senior_basic_villages,senior_basic_villages_flag,senior_basic_schools,senior_basic_schools_flag,higher_secondary_villages,higher_secondary_villages_flag,higher_secondary_schools,higher_secondary_schools_flag,college_villages,college_villages_flag,colleges,colleges_flag,other_edu_villages,other_edu_villages_flag,other_edu_institutions,other_edu_institutions_flag,hospital_villages,hospital_villages_flag,hospitals,hospitals_flag,dispensary_villages,dispensary_villages_flag,dispensaries,dispensaries_flag,mcw_villages,mcw_villages_flag,mcw_centres,mcw_centres_flag,health_centre_villages,health_centre_villages_flag,health_centres,health_centres_flag,family_planning_villages,family_planning_villages_flag,family_planning_centres,family_planning_centres_flag,other_med_villages,other_med_villages_flag,other_med_institutions,other_med_institutions_flag,power_available_villages,power_available_villages_flag,power_not_available_villages,power_not_available_villages_flag,tap_water_villages,tap_water_villages_flag,hand_pipe_villages,hand_pipe_villages_flag,well_villages,well_villages_flag,tank_villages,tank_villages_flag,river_villages,river_villages_flag,fountain_villages,fountain_villages_flag,canal_villages,canal_villages_flag,water_fall_villages,water_fall_villages_flag,lake_villages,lake_villages_flag,tube_well_villages,tube_well_villages_flag,other_water_villages,other_water_villages_flag,no_water_villages,no_water_villages_flag,pucca_road_villages,pucca_road_villages_flag,kachcha_road_villages,kachcha_road_villages_flag,pucca_kachcha_road_villages,pucca_kachcha_road_villages_flag,other_road_villages,other_road_villages_flag,post_office_villages,post_office_villages_flag,post_offices,post_offices_flag,telegraph_office_villages,telegraph_office_villages_flag,telegraph_offices,telegraph_offices_flag,post_telegraph_villages,post_telegraph_villages_flag,post_telegraph_offices,post_telegraph_offices_flag,telephone_villages,telephone_villages_flag,telephones,telephones_flag,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
1,,Kiraoli,,112,,115,,16,,18,,5,,5,,,,,,,,,,4,,4,,3,,3,,1,,1,,1,,1,,...,,...,,...,,...,,11,,163,,,,,,168,,,,,,,,,,,,,,4,,,,,,36,,46,,6,,49,,36,,36,,...,,...,,2,,2,,2,,2,,ORDINARY,,False,0,agra_tehsil_1971,Agra,Uttar Pradesh,1971,format_003,agra_tehsil_001,agra_tehsil_1971.pdf,26aa85d6ff0ab648a7ed3168335b2a631564b0b73e1fb6f002e46db79de0d2f4,170,171,152,153,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:12.375482+00:00
2,,Kheragarh,,104,,127,,23,,24,,10,,10,,,,,,,,,,6,,6,,7,,7,,6,,6,,5,,5,,12,,12,,...,,...,,6,,151,,,,,,151,,...,,...,,...,,...,,...,,...,,...,,...,,,,46,,11,,1,,42,,39,,39,,...,,...,,...,,...,,1,,1,,ORDINARY,,False,1,agra_tehsil_1971,Agra,Uttar Pradesh,1971,format_003,agra_tehsil_001,agra_tehsil_1971.pdf,26aa85d6ff0ab648a7ed3168335b2a631564b0b73e1fb6f002e46db79de0d2f4,170,171,152,153,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:12.375482+00:00
3,,Agra,,103,,114,,20,,21,,5,,5,,,,,,,,,,6,,6,,8,,8,,2,,2,,2,,2,,3,,3,,...,,...,,71,,78,,,,10,,134,,6,,,,,,3,,,,,,4,,,,,,58,,30,,10,,16,,30,,30,,...,,...,,3,,3,,4,,4,,ORDINARY,,False,2,agra_tehsil_1971,Agra,Uttar Pradesh,1971,format_003,agra_tehsil_001,agra_tehsil_1971.pdf,26aa85d6ff0ab648a7ed3168335b2a631564b0b73e1fb6f002e46db79de0d2f4,170,171,152,153,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:12.375482+00:00
4,,Etmadpur,,115,,140,,33,,35,,4,,4,,,,,,1,,1,,7,,7,,6,,6,,3,,3,,1,,1,,6,,6,,1,,1,,75,,109,,,,10,,174,,,,2,,,,3,,,,,,33,,,,,,14,,45,,4,,60,,31,,31,,...,,...,,5,,5,,6,,6,,ORDINARY,,False,3,agra_tehsil_1971,Agra,Uttar Pradesh,1971,format_003,agra_tehsil_001,agra_tehsil_1971.pdf,26aa85d6ff0ab648a7ed3168335b2a631564b0b73e1fb6f002e46db79de0d2f4,170,171,152,153,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:12.375482+00:00
5,,Firozabad,,103,,117,,20,,21,,9,,9,,,,,,,,,,7,,7,,6,,6,,1,,1,,1,,1,,4,,4,,...,,...,,100,,89,,,,,,183,,,,,,,,,,,,,,7,,,,,,28,,79,,11,,36,,34,,34,,...,,...,,...,,...,,1,,1,,ORDINARY,,False,4,agra_tehsil_1971,Agra,Uttar Pradesh,1971,format_003,agra_tehsil_001,agra_tehsil_1971.pdf,26aa85d6ff0ab648a7ed3168335b2a631564b0b73e1fb6f002e46db79de0d2f4,170,171,152,153,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:12.375482+00:00
6,,Fatehabad,,88,,97,,14,,15,,2,,2,,,,,,,,,,...,,...,,6,,6,,...,,...,,...,,...,,...,,...,,...,,...,,29,,137,,,,3,,161,,,,3,,...,,...,,...,,...,,...,,,,,,30,,73,,11,,1,,21,,21,,...,,...,,...,,...,,...,,...,,ORDINARY,,False,5,agra_tehsil_1971,Agra,Uttar Pradesh,1971,format_003,agra_tehsil_001,agra_tehsil_1971.pdf,26aa85d6ff0ab648a7ed3168335b2a631564b0b73e1fb6f002e46db79de0d2f4,170,171,152,153,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:12.375482+00:00
7,,Bah,,119,,135,,27,,31,,3,,8,,,,,,,,,,3,,3,,10,,10,,2,,2,,2,,2,,2,,2,,...,,...,,128,,85,,...,,3,,207,,...,,10,,...,,...,,...,,...,,...,,...,,...,,100,,62,,3,,3,,38,,38,,...,,...,,1,,1,,2,,2,,ORDINARY,,False,6,agra_tehsil_1971,Agra,Uttar Pradesh,1971,format_003,agra_tehsil_001,agra_tehsil_1971.pdf,26aa85d6ff0ab648a7ed3168335b2a631564b0b73e1fb6f002e46db79de0d2f4,170,171,152,153,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:12.375482+00:00
,,DISTRICT AGRA,,744,,845,,153,,165,,38,,38,,,,,,1,,1,,33,,33,,46,,46,,15,,15,,12,,12,,27,,27,,1,,1,,420,,812,,,,28,,"1,178",,6,,,,15,,,,,,6,,48,,,,,,312,,346,,46,,207,,229,,229,,...,,...,,11,,11,,16,,16,,TOTAL,,False,7,agra_tehsil_1971,Agra,Uttar Pradesh,1971,format_003,agra_tehsil_001,agra_tehsil_1971.pdf,26aa85d6ff0ab648a7ed3168335b2a631564b0b73e1fb6f002e46db79de0d2f4,170,171,152,153,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T14:57:12.375482+00:00
1,,Khair,,153,,185,,37,,40,,11,,11,,1,,1,,...,,...,,6,,6,,3,,3,,3,,3,,1,,1,,3,,3,,...,,...,,135,,148,,...,,167,,275,,...,,...,,...,,...,,...,,...,,26,,...,,...,,68,,5,,1,,11,,80,,80,,...,,...,,2,,2,,1,,1,,ORDINARY,,False,0,aligarh_tehsil_1971,Aligarh,Uttar Pradesh,1971,format_003,aligarh_tehsil_001,aligarh_tehsil_1971.pdf,9d257a3146db5a920d585bb002c597b4edad0d3ed903c6a35a706b6ea574ad8d,214,215,196,197,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:55.148544+00:00
2,,Koil,,165,,177,,31,,31,,12,,12,,...,,...,,...,,...,,8,,8,,2,,2,,62,,6,,2,,2,,3,,3,,...,,...,,165,,192,,...,,192,,307,,1,,...,,...,,...,,...,,...,,9,,5,,...,,92,,34,,...,,53,,66,,66,,...,,...,,1,,1,,2,,2,,ORDINARY,,False,1,aligarh_tehsil_1971,Aligarh,Uttar Pradesh,1971,format_003,aligarh_tehsil_001,aligarh_tehsil_1971.pdf,9d257a3146db5a920d585bb002c597b4edad0d3ed903c6a35a706b6ea574ad8d,214,215,196,197,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:55.148544+00:00
