pdf_id,file_name,state,district,year,format_id,source_page_start,source_page_end,table_id,anchor_page,continuation_page,anchor_printed_page,continuation_printed_page
agra_civic_1971,agra_civic_1971.pdf,Uttar Pradesh,Agra,1971,format_001,28,29,agra_civic_001,1,2,10,11
agra_mededu_1971,agra_mededu_1971.pdf,Uttar Pradesh,Agra,1971,format_002,30,31,agra_mededu_001,1,2,12,13
agra_tehsil_1971,agra_tehsil_1971.pdf,Uttar Pradesh,Agra,1971,format_003,170,171,agra_tehsil_001,1,2,152,153
aligarh_civic_1971,aligarh_civic_1971.pdf,Uttar Pradesh,Aligarh,1971,format_001,24,25,aligarh_civic_001,1,2,6,7
aligarh_mededu_1971,aligarh_mededu_1971.pdf,Uttar Pradesh,Aligarh,1971,format_002,26,27,aligarh_mededu_001,1,2,8,9
aligarh_tehsil_1971,aligarh_tehsil_1971.pdf,Uttar Pradesh,Aligarh,1971,format_003,214,215,aligarh_tehsil_001,1,2,196,197
allahabad_civic_1971,allahabad_civic_1971.pdf,Uttar Pradesh,Allahabad,1971,format_001,25,26,allahabad_civic_001,1,2,6,7
allahabad_mededu_1971,allahabad_mededu_1971.pdf,Uttar Pradesh,Allahabad,1971,format_002,27,28,allahabad_mededu_001,1,2,8,9
allahabad_tehsil_1971,allahabad_tehsil_1971.pdf,Uttar Pradesh,Allahabad,1971,format_003,413,414,allahabad_tehsil_001,1,2,394,395
almora_civic_1971,almora_civic_1971.pdf,Uttar Pradesh,Almora,1971,format_001,21,22,almora_civic_001,1,2,6,7
almora_mededu_1971,almora_mededu_1971.pdf,Uttar Pradesh,Almora,1971,format_002,21,22,almora_mededu_001,1,2,6,7
almora_tehsil_1971,almora_tehsil_1971.pdf,Uttar Pradesh,Almora,1971,format_003,329,330,almora_tehsil_001,1,2,318,319
azamgarh_civic_1971,azamgarh_civic_1971.pdf,Uttar Pradesh,Azamgarh,1971,format_001,23,24,azamgarh_civic_001,1,2,6,7
azamgarh_mededu_1971,azamgarh_mededu_1971.pdf,Uttar Pradesh,Azamgarh,1971,format_002,25,26,azamgarh_mededu_001,1,2,8,9
azamgarh_tehsil_1971,azamgarh_tehsil_1971.pdf,Uttar Pradesh,Azamgarh,1971,format_003,549,550,azamgarh_tehsil_001,1,2,532,533
bahraich_civic_1971,bahraich_civic_1971.pdf,Uttar Pradesh,Bahraich,1971,format_001,25,26,bahraich_civic_001,1,2,6,7
bahraich_mededu_1971,bahraich_mededu_1971.pdf,Uttar Pradesh,Bahraich,1971,format_002,25,26,bahraich_mededu_001,1,2,6,7
bahraich_tehsil_1971,bahraich_tehsil_1971.pdf,Uttar Pradesh,Bahraich,1971,format_003,209,210,bahraich_tehsil_001,1,2,190,191
baliya_civic_1971,baliya_civic_1971.pdf,Uttar Pradesh,Baliya,1971,format_001,27,28,baliya_civic_001,1,2,6,7
baliya_mededu_1971,baliya_mededu_1971.pdf,Uttar Pradesh,Baliya,1971,format_002,27,28,baliya_mededu_001,1,2,6,7
baliya_tehsil_1971,baliya_tehsil_1971.pdf,Uttar Pradesh,Baliya,1971,format_003,271,272,baliya_tehsil_001,1,2,250,251
banda_civic_1971,banda_civic_1971.pdf,Uttar Pradesh,Banda,1971,format_001,22,23,banda_civic_001,1,2,6,7
banda_mededu_1971,banda_mededu_1971.pdf,Uttar Pradesh,Banda,1971,format_002,22,23,banda_mededu_001,1,2,6,7
banda_tehsil_1971,banda_tehsil_1971.pdf,Uttar Pradesh,Banda,1971,format_003,160,161,banda_tehsil_001,1,2,144,145
bara_banki_civic_1971,bara_banki_civic_1971.pdf,Uttar Pradesh,Bara Banki,1971,format_001,24,25,bara_banki_civic_001,1,2,6,7
bara_banki_mededu_1971,bara_banki_mededu_1971.pdf,Uttar Pradesh,Bara Banki,1971,format_002,26,27,bara_banki_mededu_001,1,2,8,9
bara_banki_tehsil_1971,bara_banki_tehsil_1971.pdf,Uttar Pradesh,Bara Banki,1971,format_003,228,229,bara_banki_tehsil_001,1,2,210,211
bareilly_civic_1971,bareilly_civic_1971.pdf,Uttar Pradesh,Bareilly,1971,format_001,24,25,bareilly_civic_001,1,2,6,7
bareilly_mededu_1971,bareilly_mededu_1971.pdf,Uttar Pradesh,Bareilly,1971,format_002,26,27,bareilly_mededu_001,1,2,8,9
bareilly_tehsil_1971,bareilly_tehsil_1971.pdf,Uttar Pradesh,Bareilly,1971,format_003,236,237,bareilly_tehsil_001,1,2,222,225
basti_civic_1971,basti_civic_1971.pdf,Uttar Pradesh,Basti,1971,format_001,26,27,basti_civic_001,1,2,6,7
basti_mededu_1971,basti_mededu_1971.pdf,Uttar Pradesh,Basti,1971,format_002,28,29,basti_mededu_001,1,2,8,9
basti_tehsil_1971,basti_tehsil_1971.pdf,Uttar Pradesh,Basti,1971,format_003,726,727,basti_tehsil_001,1,2,706,707
bijnor_civic_1971,bijnor_civic_1971.pdf,Uttar Pradesh,Bijnor,1971,format_001,33,34,bijnor_civic_001,1,2,10,11
bijnor_mededu_1971,bijnor_mededu_1971.pdf,Uttar Pradesh,Bijnor,1971,format_002,35,36,bijnor_mededu_001,1,2,12,13
bijnor_tehsil_1971,bijnor_tehsil_1971.pdf,Uttar Pradesh,Bijnor,1971,format_003,325,326,bijnor_tehsil_001,1,2,224,305
budaun_civic_1971,budaun_civic_1971.pdf,Uttar Pradesh,Budaun,1971,format_001,24,25,budaun_civic_001,1,2,6,7
budaun_mededu_1971,budaun_mededu_1971.pdf,Uttar Pradesh,Budaun,1971,format_002,26,27,budaun_mededu_001,1,2,8,9
