sl_no,tahsil_name,junior_basic_villages,junior_basic_schools,senior_basic_villages,senior_basic_schools,higher_secondary_villages,higher_secondary_schools,college_villages,colleges,other_edu_villages,other_edu_institutions,hospital_villages,hospitals,dispensary_villages,dispensaries,mcw_villages,mcw_centres,health_centre_villages,health_centres,family_planning_villages,family_planning_centres,other_med_villages,other_med_institutions,power_available_villages,power_not_available_villages,tap_water_villages,hand_pipe_villages,well_villages,tank_villages,river_villages,fountain_villages,canal_villages,water_fall_villages,lake_villages,tube_well_villages,other_water_villages,no_water_villages,pucca_road_villages,kachcha_road_villages,pucca_kachcha_road_villages,other_road_villages,post_office_villages,post_offices,telegraph_office_villages,telegraph_offices,post_telegraph_villages,post_telegraph_offices,telephone_villages,telephones,vertical_distance,is_aligned,row_type,district,format_id,source_pdf,extraction_timestamp
1,Agra (M.C.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,,,,,,,,,,,,,30,35,40,45,50,55,60,65,70,75,80,85,90,95,,,,,,,,,,,,,1.0,False,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
2,Dayalbagh (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,,,,,,,,,,,,,30,35,40,45,50,55,60,65,70,75,80,85,90,95,,,,,,,,,,,,,1.0,False,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
3,Fatehpur Sikri (M.B.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0047,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
4,Kheragarh (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0045,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
5,Bah (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0066,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
6,Agra (M.C.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0071,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
7,Dayalbagh (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0081,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
8,Fatehpur Sikri (M.B.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.008,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
9,Kheragarh (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0079,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
10,Bah (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0086,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
