state,source_state_folder,district,table,table_label,status,source,reason
Arunachal Pradesh,Arunachal Pradesh,Subansiri,civic_amenities,Civic Amenities,Not trimmed,1971\Arunachal Pradesh\1971 Subansiri.pdf,"No separate town Statement IV/V page was located in the inspected district volume; the available amenities abstract is the Circle-wise Village Directory appendix, which was extracted as tehsil_appendix."
Arunachal Pradesh,Arunachal Pradesh,Subansiri,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Arunachal Pradesh\1971 Subansiri.pdf,"No separate town Statement IV/V page was located in the inspected district volume; the available amenities abstract is the Circle-wise Village Directory appendix, which was extracted as tehsil_appendix."
Arunachal Pradesh,Arunachal Pradesh,Tirap,civic_amenities,Civic Amenities,Not trimmed,1971\Arunachal Pradesh\1971 Tirap .pdf,"No separate town Statement IV/V page was located in the inspected district volume; the available amenities abstract is the Circle-wise Village Directory appendix, which was extracted as tehsil_appendix."
Arunachal Pradesh,Arunachal Pradesh,Tirap,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Arunachal Pradesh\1971 Tirap .pdf,"No separate town Statement IV/V page was located in the inspected district volume; the available amenities abstract is the Circle-wise Village Directory appendix, which was extracted as tehsil_appendix."
Bihar,Bihar,Shahabad,civic_amenities,Civic Amenities,Not trimmed,1971\Bihar\41313_1971_SHA.pdf,"The supplied Shahabad volume is Part X-C Administrative Statistics and District Census Tables, not the Part X-A Town & Village Directory; the requested Statement IV, Statement V, and equivalent Village Directory amenities appendix are absent."
Bihar,Bihar,Shahabad,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Bihar\41313_1971_SHA.pdf,"The supplied Shahabad volume is Part X-C Administrative Statistics and District Census Tables, not the Part X-A Town & Village Directory; the requested Statement IV, Statement V, and equivalent Village Directory amenities appendix are absent."
Bihar,Bihar,Shahabad,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Bihar\41313_1971_SHA.pdf,"The supplied Shahabad volume is Part X-C Administrative Statistics and District Census Tables, not the Part X-A Town & Village Directory; the requested Statement IV, Statement V, and equivalent Village Directory amenities appendix are absent."
Gujarat,Gujarat,Junagadh,civic_amenities,Civic Amenities,Not trimmed,1971\Gujarat\1971 Junagadh.pdf,1971 Part C full-count/statistical volume; the requested Town Directory Statement IV/V and tehsil/taluk amenities appendix are absent.
Gujarat,Gujarat,Junagadh,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Gujarat\1971 Junagadh.pdf,1971 Part C full-count/statistical volume; the requested Town Directory Statement IV/V and tehsil/taluk amenities appendix are absent.
Gujarat,Gujarat,Junagadh,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Gujarat\1971 Junagadh.pdf,1971 Part C full-count/statistical volume; the requested Town Directory Statement IV/V and tehsil/taluk amenities appendix are absent.
