state,district,category,table,old_path,new_path,old_filename,new_filename,page_count,sha256
Andhra Pradesh,Adilabad,civic amenities,civic_amenities,output/pdf/1971_trimmed/Andra Pradesh/1971_Adilabad_civic_amenities.pdf,output/pdf/1971_trimmed/Andhra Pradesh/civic amenities/Adilabad_civic_1971.pdf,1971_Adilabad_civic_amenities.pdf,Adilabad_civic_1971.pdf,1,9a8b0414c88ebdaf104479674400919c7cb5ade4d1f88fb6ba3c10a7fda951eb
Andhra Pradesh,Anantapur,civic amenities,civic_amenities,output/pdf/1971_trimmed/Andra Pradesh/1971_Anantapur_civic_amenities.pdf,output/pdf/1971_trimmed/Andhra Pradesh/civic amenities/Anantapur_civic_1971.pdf,1971_Anantapur_civic_amenities.pdf,Anantapur_civic_1971.pdf,1,fabd2e7273c61ed0f8775049599655180b65e0460e1524263da9bb4530eb8ce4
Andhra Pradesh,Chittoor,civic amenities,civic_amenities,output/pdf/1971_trimmed/Andra Pradesh/1971_Chittoor_civic_amenities.pdf,output/pdf/1971_trimmed/Andhra Pradesh/civic amenities/Chittoor_civic_1971.pdf,1971_Chittoor_civic_amenities.pdf,Chittoor_civic_1971.pdf,1,ff26e4f924ab6745379e3a4d3aac17ad48e63519a0baa8b24a56507edb4c0b44
Andhra Pradesh,Cuddapah,civic amenities,civic_amenities,output/pdf/1971_trimmed/Andra Pradesh/1971_Cuddapah_civic_amenities.pdf,output/pdf/1971_trimmed/Andhra Pradesh/civic amenities/Cuddapah_civic_1971.pdf,1971_Cuddapah_civic_amenities.pdf,Cuddapah_civic_1971.pdf,1,a139fe75a6c81dd858dd54d3a285bd6b19438d36cbcf11c050211aec63022bad
Andhra Pradesh,East Godavari,civic amenities,civic_amenities,output/pdf/1971_trimmed/Andra Pradesh/1971_East Godavari_civic_amenities.pdf,output/pdf/1971_trimmed/Andhra Pradesh/civic amenities/East Godavari_civic_1971.pdf,1971_East Godavari_civic_amenities.pdf,East Godavari_civic_1971.pdf,1,ac8c906ad37d470f9e8329560d11b27168312409ab7e4bafdc0760a29544b83a
Andhra Pradesh,Guntur,civic amenities,civic_amenities,output/pdf/1971_trimmed/Andra Pradesh/1971_Guntur_civic_amenities.pdf,output/pdf/1971_trimmed/Andhra Pradesh/civic amenities/Guntur_civic_1971.pdf,1971_Guntur_civic_amenities.pdf,Guntur_civic_1971.pdf,1,726e837d105d2a8cf7f689ecb3263e0da4463d35afd5f451cf15c5cb659dee19
Andhra Pradesh,Hyderabad,civic amenities,civic_amenities,output/pdf/1971_trimmed/Andra Pradesh/1971_Hyderabad_civic_amenities.pdf,output/pdf/1971_trimmed/Andhra Pradesh/civic amenities/Hyderabad_civic_1971.pdf,1971_Hyderabad_civic_amenities.pdf,Hyderabad_civic_1971.pdf,2,6a20654cd73cd7383a8977c956eba76f9f462767d6139b684e81f5d791ff100b
Andhra Pradesh,Karimnagar,civic amenities,civic_amenities,output/pdf/1971_trimmed/Andra Pradesh/1971_Karimnagar_civic_amenities.pdf,output/pdf/1971_trimmed/Andhra Pradesh/civic amenities/Karimnagar_civic_1971.pdf,1971_Karimnagar_civic_amenities.pdf,Karimnagar_civic_1971.pdf,1,5881de856610e04ca82876d5b53d6ccd006119c8fcda14ebe91eee0165d77b4b
Andhra Pradesh,Khammam,civic amenities,civic_amenities,output/pdf/1971_trimmed/Andra Pradesh/1971_Khammam_civic_amenities.pdf,output/pdf/1971_trimmed/Andhra Pradesh/civic amenities/Khammam_civic_1971.pdf,1971_Khammam_civic_amenities.pdf,Khammam_civic_1971.pdf,1,35d79db01f521a6f07e569790e0df5beba61d83dacfbca7d5231ec1a6aca6974
Andhra Pradesh,Krishna,civic amenities,civic_amenities,output/pdf/1971_trimmed/Andra Pradesh/1971_Krishna_civic_amenities.pdf,output/pdf/1971_trimmed/Andhra Pradesh/civic amenities/Krishna_civic_1971.pdf,1971_Krishna_civic_amenities.pdf,Krishna_civic_1971.pdf,1,d50f339592fa73b95217f78256c4f3e61f900e69b015f71dd4976b2c6dc2a83e
