state,source_state_folder,district,source,table,table_label,status,source_pages,output,output_page_count,geometry_ok,reason
Andra Pradesh,Andra Pradesh,Adilabad,1971\Andra Pradesh\1971 Adilabad .pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Adilabad,1971\Andra Pradesh\1971 Adilabad .pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Adilabad,1971\Andra Pradesh\1971 Adilabad .pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Anantapur,1971\Andra Pradesh\1971 Anantapur.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Anantapur,1971\Andra Pradesh\1971 Anantapur.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Anantapur,1971\Andra Pradesh\1971 Anantapur.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Chittoor,1971\Andra Pradesh\1971 Chittoor.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Chittoor,1971\Andra Pradesh\1971 Chittoor.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Chittoor,1971\Andra Pradesh\1971 Chittoor.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Cuddapah,1971\Andra Pradesh\1971 Cuddapah.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Cuddapah,1971\Andra Pradesh\1971 Cuddapah.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Cuddapah,1971\Andra Pradesh\1971 Cuddapah.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,East Godavari,1971\Andra Pradesh\1971 East Godavari.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,East Godavari,1971\Andra Pradesh\1971 East Godavari.pdf,medical_educational_amenities,Medical and Educational Amenities,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,East Godavari,1971\Andra Pradesh\1971 East Godavari.pdf,tehsil_appendix,Tehsil Appendix,Needs review,,,0,False,No output or review record was found for this source table.
Andra Pradesh,Andra Pradesh,Guntur,1971\Andra Pradesh\1971 Guntur.pdf,civic_amenities,Civic Amenities,Needs review,,,0,False,No output or review record was found for this source table.
