state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Andra Pradesh,Adilabad,civic_amenities,Trimmed,1981/Andra Pradesh/1981 Adilabad.pdf,1981 Adilabad.pdf,Village/Town Directory volume,English or bilingual,"[354, 355]","[""266"", ""267""]",output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Adilabad_civic_amenities.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Andra Pradesh,Adilabad,medical_educational_amenities,Trimmed,1981/Andra Pradesh/1981 Adilabad.pdf,1981 Adilabad.pdf,Village/Town Directory volume,English or bilingual,"[358, 359]","[""270"", ""271""]",output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Adilabad_medical_educational_amenities.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Andra Pradesh,Adilabad,tehsil_appendix,Trimmed,1981/Andra Pradesh/1981 Adilabad.pdf,1981 Adilabad.pdf,Village/Town Directory volume,English or bilingual,"[260, 261, 262, 263]","[""174"", ""175"", ""176"", ""177""]",output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Adilabad_tehsil_appendix.pdf,Located from directory headings and continuation boundaries; continuation start retained after final audit.,[]
Andra Pradesh,Anantapur,civic_amenities,Trimmed,1981/Andra Pradesh/1981 Anantapur.pdf,1981 Anantapur.pdf,Village/Town Directory volume,English or bilingual,"[376, 377]","[""264"", ""265""]",output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Anantapur_civic_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,Anantapur,medical_educational_amenities,Trimmed,1981/Andra Pradesh/1981 Anantapur.pdf,1981 Anantapur.pdf,Village/Town Directory volume,English or bilingual,"[382, 383]","[""270"", ""271""]",output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Anantapur_medical_educational_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,Anantapur,tehsil_appendix,Trimmed,1981/Andra Pradesh/1981 Anantapur.pdf,1981 Anantapur.pdf,Village/Town Directory volume,English or bilingual,"[278, 279, 280, 281]","[""168"", ""169"", ""170"", null]",output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Anantapur_tehsil_appendix.pdf,Appendix I printed pages 168-171; source page 282 begins Appendix II/III.,"[""manual_verified""]"
Andra Pradesh,Chittoor,civic_amenities,Trimmed,1981/Andra Pradesh/1981 Chittoor.pdf,1981 Chittoor.pdf,Village/Town Directory volume,English or bilingual,"[570, 571]","[""454"", ""455""]",output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Chittoor_civic_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,Chittoor,medical_educational_amenities,Trimmed,1981/Andra Pradesh/1981 Chittoor.pdf,1981 Chittoor.pdf,Village/Town Directory volume,English or bilingual,"[574, 575]","[""458"", ""459""]",output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Chittoor_medical_educational_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,Chittoor,tehsil_appendix,Trimmed,1981/Andra Pradesh/1981 Chittoor.pdf,1981 Chittoor.pdf,Village/Town Directory volume,English or bilingual,"[340, 341, 342, 343]","[""224"", ""225"", ""226"", ""227""]",output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Chittoor_tehsil_appendix.pdf,Appendix I printed pages 224-227; source page 344 begins Appendix II.,"[""manual_verified""]"
Andra Pradesh,Cuddapah,civic_amenities,Trimmed,1981/Andra Pradesh/1981 Cuddapah.pdf,1981 Cuddapah.pdf,Village/Town Directory volume,English or bilingual,"[366, 367]","[null, null]",output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Cuddapah_civic_amenities.pdf,Statement IV spans source pages 366-367; source page 368 begins Statement V.,"[""manual_verified""]"
Andra Pradesh,Cuddapah,medical_educational_amenities,Trimmed,1981/Andra Pradesh/1981 Cuddapah.pdf,1981 Cuddapah.pdf,Village/Town Directory volume,English or bilingual,"[368, 369]","[null, null]",output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Cuddapah_medical_educational_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,Cuddapah,tehsil_appendix,Trimmed,1981/Andra Pradesh/1981 Cuddapah.pdf,1981 Cuddapah.pdf,Village/Town Directory volume,English or bilingual,"[246, 247, 248, 249]","[null, null, ""152"", ""153""]",output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Cuddapah_tehsil_appendix.pdf,Appendix I printed pages 150-153; source page 250 begins Appendix II.,"[""manual_verified""]"
Andra Pradesh,East Godavari,civic_amenities,Trimmed,1981/Andra Pradesh/1981 East Godavari.pdf,1981 East Godavari.pdf,Village/Town Directory volume,English or bilingual,"[390, 391]","[""268"", null]",output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_East Godavari_civic_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,East Godavari,medical_educational_amenities,Trimmed,1981/Andra Pradesh/1981 East Godavari.pdf,1981 East Godavari.pdf,Village/Town Directory volume,English or bilingual,"[394, 395, 396, 397]","[""272"", null, ""274"", null]",output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_East Godavari_medical_educational_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,East Godavari,tehsil_appendix,Trimmed,1981/Andra Pradesh/1981 East Godavari.pdf,1981 East Godavari.pdf,Village/Town Directory volume,English or bilingual,"[306, 307, 308, 309]","[null, null, null, null]",output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_East Godavari_tehsil_appendix.pdf,Appendix I printed pages 186-189; source page 310 begins Appendix II.,"[""manual_verified""]"
Andra Pradesh,Guntur,civic_amenities,Trimmed,1981/Andra Pradesh/1981 Guntur.pdf,1981 Guntur.pdf,Village/Town Directory volume,English or bilingual,"[331, 332]","[""198"", ""199""]",output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Guntur_civic_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,Guntur,medical_educational_amenities,Trimmed,1981/Andra Pradesh/1981 Guntur.pdf,1981 Guntur.pdf,Village/Town Directory volume,English or bilingual,"[335, 336, 337, 338]","[""202"", ""203"", ""204"", ""205""]",output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Guntur_medical_educational_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,Guntur,tehsil_appendix,Trimmed,1981/Andra Pradesh/1981 Guntur.pdf,1981 Guntur.pdf,Village/Town Directory volume,English or bilingual,"[265, 266, 267, 268]","[null, null, null, null]",output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Guntur_tehsil_appendix.pdf,Appendix I printed pages 134-137; source page 269 begins Appendix II.,"[""manual_verified""]"
Andra Pradesh,Hyderabad,civic_amenities,Trimmed,1981/Andra Pradesh/1981 Hyderabad.pdf,1981 Hyderabad.pdf,Village/Town Directory volume,English or bilingual,"[85, 86, 87, 88]","[""32"", ""33"", ""34"", ""35""]",output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Hyderabad_civic_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,Hyderabad,medical_educational_amenities,Trimmed,1981/Andra Pradesh/1981 Hyderabad.pdf,1981 Hyderabad.pdf,Village/Town Directory volume,English or bilingual,"[111, 112, 113, 114]","[""58"", null, ""60"", ""61""]",output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Hyderabad_medical_educational_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,Hyderabad,tehsil_appendix,Not trimmed,1981/Andra Pradesh/1981 Hyderabad.pdf,1981 Hyderabad.pdf,Village/Town Directory volume,English or bilingual,[],[],,Visual contents and directory structure show no Tehsil/Taluk-wise amenities appendix in this volume.,"[""manual_absent_or_ineligible""]"
Andra Pradesh,Karimnagar,civic_amenities,Trimmed,1981/Andra Pradesh/1981 Karimnagar.pdf,1981 Karimnagar.pdf,Village/Town Directory volume,English or bilingual,"[366, 367]","[""276"", ""277""]",output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Karimnagar_civic_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Andra Pradesh,Karimnagar,medical_educational_amenities,Trimmed,1981/Andra Pradesh/1981 Karimnagar.pdf,1981 Karimnagar.pdf,Village/Town Directory volume,English or bilingual,"[370, 371]","[""280"", ""281""]",output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Karimnagar_medical_educational_amenities.pdf,Located from directory headings and continuation boundaries.,[]
