state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Bihar,Aurangabad,civic_amenities,Trimmed,1981/Bihar/42425_1981_AUR.pdf,42425_1981_AUR.pdf,Village/Town Directory volume,English or bilingual,"[256, 257]","[""244"", ""245""]",output/pdf/1981_trimmed/Bihar/civic amenities/1981_Aurangabad_civic_amenities.pdf,Town Directory Statement IV printed pages 244-245; source page 258 begins Statement VI.,"[""manual_verified""]"
Bihar,Aurangabad,medical_educational_amenities,Trimmed,1981/Bihar/42425_1981_AUR.pdf,42425_1981_AUR.pdf,Village/Town Directory volume,English or bilingual,"[256, 257]","[""244"", ""245""]",output/pdf/1981_trimmed/Bihar/mededu/1981_Aurangabad_medical_educational_amenities.pdf,"Town Directory Statement V printed pages 244-245, sharing full source pages with Statement IV; source page 258 begins Statement VI.","[""manual_verified""]"
Bihar,Aurangabad,tehsil_appendix,Trimmed,1981/Bihar/42425_1981_AUR.pdf,42425_1981_AUR.pdf,Village/Town Directory volume,English or bilingual,"[228, 229]","[""216"", ""217""]",output/pdf/1981_trimmed/Bihar/tehsil appendix/1981_Aurangabad_tehsil_appendix.pdf,"Appendix I to Village Directory, Development Blockwise Abstract of Educational, Medical and Other Amenities, printed pages 216-217; source page 230 begins Appendix II.","[""manual_verified""]"
Bihar,Begusarai,civic_amenities,Trimmed,1981/Bihar/41697_1981_BEG.pdf,41697_1981_BEG.pdf,Village/Town Directory volume,English or bilingual,"[176, 177]","[""166"", ""167""]",output/pdf/1981_trimmed/Bihar/civic amenities/1981_Begusarai_civic_amenities.pdf,Town Directory Statement IV printed pages 166-167; source page 178 begins Statement V.,"[""manual_verified""]"
Bihar,Begusarai,medical_educational_amenities,Trimmed,1981/Bihar/41697_1981_BEG.pdf,41697_1981_BEG.pdf,Village/Town Directory volume,English or bilingual,"[178, 179]","[""168"", ""169""]",output/pdf/1981_trimmed/Bihar/mededu/1981_Begusarai_medical_educational_amenities.pdf,Town Directory Statement V printed pages 168-169; source page 180 begins the Appendix to Town Directory after Statement VI.,"[""manual_verified""]"
Bihar,Begusarai,tehsil_appendix,Trimmed,1981/Bihar/41697_1981_BEG.pdf,41697_1981_BEG.pdf,Village/Town Directory volume,English or bilingual,"[158, 159]","[""148"", ""149""]",output/pdf/1981_trimmed/Bihar/tehsil appendix/1981_Begusarai_tehsil_appendix.pdf,"Appendix I to Village Directory, Development Blockwise Abstract of Educational, Medical and Other Amenities, printed pages 148-149; source page 160 begins Appendix II.","[""manual_verified""]"
Bihar,Bhagalpur,civic_amenities,Trimmed,1981/Bihar/1981 Bhagal Pur.pdf,1981 Bhagal Pur.pdf,Village/Town Directory volume,English or bilingual,"[444, 445]","[""430"", ""431""]",output/pdf/1981_trimmed/Bihar/civic amenities/1981_Bhagalpur_civic_amenities.pdf,Town Directory Statement IV spans source pages 444-445 (printed pages 430-431); source page 446 begins the separate notified-slum civic table.,"[""manual_verified""]"
Bihar,Bhagalpur,medical_educational_amenities,Trimmed,1981/Bihar/1981 Bhagal Pur.pdf,1981 Bhagal Pur.pdf,Village/Town Directory volume,English or bilingual,"[448, 449]","[""434"", ""435""]",output/pdf/1981_trimmed/Bihar/mededu/1981_Bhagalpur_medical_educational_amenities.pdf,Town Directory Statement V printed pages 434-435; Statement VI begins on source page 449 after the Statement V table.,"[""manual_verified""]"
Bihar,Bhagalpur,tehsil_appendix,Trimmed,1981/Bihar/1981 Bhagal Pur.pdf,1981 Bhagal Pur.pdf,Village/Town Directory volume,English or bilingual,"[404, 405]","[""390"", ""391""]",output/pdf/1981_trimmed/Bihar/tehsil appendix/1981_Bhagalpur_tehsil_appendix.pdf,"Appendix I to Village Directory, Development Blockwise Abstract of Educational, Medical and Other Amenities, printed pages 390-391; source page 406 begins Appendix II.","[""manual_verified""]"
Bihar,Bhojpur,civic_amenities,Trimmed,1981/Bihar/27180_1981_BHO.pdf,27180_1981_BHO.pdf,Village/Town Directory volume,English or bilingual,"[298, 299]","[""284"", null]",output/pdf/1981_trimmed/Bihar/civic amenities/1981_Bhojpur_civic_amenities.pdf,Town Directory Statement IV printed pages 284-285; source page 300 begins Statement IV-A.,"[""manual_verified""]"
Bihar,Bhojpur,medical_educational_amenities,Trimmed,1981/Bihar/27180_1981_BHO.pdf,27180_1981_BHO.pdf,Village/Town Directory volume,English or bilingual,"[302, 303]","[""288"", null]",output/pdf/1981_trimmed/Bihar/mededu/1981_Bhojpur_medical_educational_amenities.pdf,Town Directory Statement V printed pages 288-289; Statement VI begins on source page 304.,"[""manual_verified""]"
Bihar,Bhojpur,tehsil_appendix,Trimmed,1981/Bihar/27180_1981_BHO.pdf,27180_1981_BHO.pdf,Village/Town Directory volume,English or bilingual,"[270, 271, 272, 273]","[""256"", ""257"", ""258"", ""259""]",output/pdf/1981_trimmed/Bihar/tehsil appendix/1981_Bhojpur_tehsil_appendix.pdf,"Appendix I to Village Directory, Development Blockwise Abstract of Educational, Medical and Other Amenities, printed pages 256-259; source page 274 begins Appendix II.","[""manual_verified""]"
Bihar,Darbhanga,civic_amenities,Trimmed,1981/Bihar/27843_1981_DAR.pdf,27843_1981_DAR.pdf,Village/Town Directory volume,English or bilingual,"[202, 203]","[null, null]",output/pdf/1981_trimmed/Bihar/civic amenities/1981_Darbhanga_civic_amenities.pdf,Town Directory Statement IV printed pages 190-191; Statement IV-A begins on source page 203 after the Statement IV table.,"[""manual_verified""]"
Bihar,Darbhanga,medical_educational_amenities,Trimmed,1981/Bihar/27843_1981_DAR.pdf,27843_1981_DAR.pdf,Village/Town Directory volume,English or bilingual,"[204, 205]","[null, null]",output/pdf/1981_trimmed/Bihar/mededu/1981_Darbhanga_medical_educational_amenities.pdf,Town Directory Statement V printed pages 192-193; Statement VI begins on source page 205 after the Statement V table.,"[""manual_verified""]"
