state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Gujarat,Ahmadabad,civic_amenities,Trimmed,1981/Gujarat/1981 Ahmadabad.pdf,1981 Ahmadabad.pdf,Village/Town Directory volume,English or bilingual,"[208, 209, 210, 211]","[null, null, null, null]",output/pdf/1981_trimmed/Gujarat/civic amenities/1981_Ahmadabad_civic_amenities.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Gujarat,Ahmadabad,medical_educational_amenities,Trimmed,1981/Gujarat/1981 Ahmadabad.pdf,1981 Ahmadabad.pdf,Village/Town Directory volume,English or bilingual,"[216, 217, 218, 219, 220, 221]","[null, null, null, null, null, null]",output/pdf/1981_trimmed/Gujarat/mededu/1981_Ahmadabad_medical_educational_amenities.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Gujarat,Ahmadabad,tehsil_appendix,Trimmed,1981/Gujarat/1981 Ahmadabad.pdf,1981 Ahmadabad.pdf,Village/Town Directory volume,English or bilingual,"[176, 177, 178, 179]","[null, null, null, null]",output/pdf/1981_trimmed/Gujarat/tehsil appendix/1981_Ahmadabad_tehsil_appendix.pdf,"Manually verified source span from printed headings, continuation pages, and table structure.",[]
Gujarat,Amreli,civic_amenities,Trimmed,1981/Gujarat/1981 Amreli.pdf,1981 Amreli.pdf,Village/Town Directory volume,English or bilingual,"[197, 198]","[null, null]",output/pdf/1981_trimmed/Gujarat/civic amenities/1981_Amreli_civic_amenities.pdf,Town Directory Statement IV printed pages 148-149; source pages 199-200 are the separate Statement IV-A slum table and are excluded.,"[""manual_verified""]"
Gujarat,Amreli,medical_educational_amenities,Trimmed,1981/Gujarat/1981 Amreli.pdf,1981 Amreli.pdf,Village/Town Directory volume,English or bilingual,"[201, 202]","[null, null]",output/pdf/1981_trimmed/Gujarat/mededu/1981_Amreli_medical_educational_amenities.pdf,Town Directory Statement V printed pages 150-153; source page 203 begins Statement VI.,"[""manual_verified""]"
Gujarat,Amreli,tehsil_appendix,Trimmed,1981/Gujarat/1981 Amreli.pdf,1981 Amreli.pdf,Village/Town Directory volume,English or bilingual,"[173, 174, 175, 176]","[null, null, null, null]",output/pdf/1981_trimmed/Gujarat/tehsil appendix/1981_Amreli_tehsil_appendix.pdf,"Appendix I, Talukawise Abstract of Educational, Medical and Other Amenities, printed pages 126-129; source page 177 begins Appendix II/III material.","[""manual_verified""]"
Gujarat,Banas Kantha,civic_amenities,Trimmed,1981/Gujarat/1981 Banas Kantha.pdf,1981 Banas Kantha.pdf,Village/Town Directory volume,English or bilingual,"[296, 297]","[null, null]",output/pdf/1981_trimmed/Gujarat/civic amenities/1981_Banas Kantha_civic_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Gujarat,Banas Kantha,medical_educational_amenities,Trimmed,1981/Gujarat/1981 Banas Kantha.pdf,1981 Banas Kantha.pdf,Village/Town Directory volume,English or bilingual,"[300, 301]","[null, null]",output/pdf/1981_trimmed/Gujarat/mededu/1981_Banas Kantha_medical_educational_amenities.pdf,Located from directory headings and continuation boundaries.,[]
Gujarat,Banas Kantha,tehsil_appendix,Trimmed,1981/Gujarat/1981 Banas Kantha.pdf,1981 Banas Kantha.pdf,Village/Town Directory volume,English or bilingual,"[256, 257, 258, 259]","[null, null, null, null]",output/pdf/1981_trimmed/Gujarat/tehsil appendix/1981_Banas Kantha_tehsil_appendix.pdf,"Village Directory Appendix I, Talukawise Abstract of Educational, Medical and Other Amenities, spanning educational, medical, drinking-water, post/telegraph, communications and power-supply pages; source page 260 begins Appendix II.","[""manual_verified""]"
Gujarat,Bharuch,civic_amenities,Trimmed,1981/Gujarat/1981 Bharuch.pdf,1981 Bharuch.pdf,Village/Town Directory volume,English or bilingual,"[278, 279]","[null, ""1979""]",output/pdf/1981_trimmed/Gujarat/civic amenities/1981_Bharuch_civic_amenities.pdf,Town Directory Statement IV printed pages 198-199; source pages 280-281 are the separate Statement IV-A slum table and are excluded.,"[""manual_verified""]"
