state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Jammu & Kashmir,Anantnag,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Anantnag.pdf,1981 Anantnag.pdf,Village/Town Directory volume,English or bilingual,[128],[null],output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Anantnag_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 117; source page 129 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Anantnag,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Anantnag.pdf,1981 Anantnag.pdf,Village/Town Directory volume,English or bilingual,[129],[null],output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Anantnag_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 118; source page 130 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Anantnag,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Anantnag.pdf,1981 Anantnag.pdf,Village/Town Directory volume,English or bilingual,"[117, 118]","[""106"", ""107""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Anantnag_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 119 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Badgam,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Badgam.pdf,1981 Badgam.pdf,Village/Town Directory volume,English or bilingual,[106],"[""96""]",output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Badgam_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 96; source page 107 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Badgam,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Badgam.pdf,1981 Badgam.pdf,Village/Town Directory volume,English or bilingual,[107],"[""97""]",output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Badgam_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 97; source page 108 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Badgam,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Badgam.pdf,1981 Badgam.pdf,Village/Town Directory volume,English or bilingual,"[96, 97]","[""86"", ""87""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Badgam_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 98 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Baramula,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Baramula.pdf,1981 Baramula.pdf,Village/Town Directory volume,English or bilingual,[126],"[""113""]",output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Baramula_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 113; source page 127 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Baramula,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Baramula.pdf,1981 Baramula.pdf,Village/Town Directory volume,English or bilingual,[127],"[""114""]",output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Baramula_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 114; source page 128 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Baramula,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Baramula.pdf,1981 Baramula.pdf,Village/Town Directory volume,English or bilingual,"[115, 116]","[""102"", ""103""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Baramula_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 117 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Doda,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Doda.pdf,1981 Doda.pdf,Village/Town Directory volume,English or bilingual,"[142, 143]","[""182"", ""133""]",output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Doda_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 132-133; source page 144 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Doda,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Doda.pdf,1981 Doda.pdf,Village/Town Directory volume,English or bilingual,"[144, 145]","[""134"", ""135""]",output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Doda_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 134-135; source page 146 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Doda,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Doda.pdf,1981 Doda.pdf,Village/Town Directory volume,English or bilingual,"[122, 123]","[""112"", ""113""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Doda_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 124 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Jammu,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Jammu.pdf,1981 Jammu.pdf,Village/Town Directory volume,English or bilingual,"[226, 227]","[""1181"", null]",output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Jammu_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 208-209; source pages 228-229 are the separate Statement IV-A slum table and are excluded.","[""manual_verified""]"
Jammu & Kashmir,Jammu,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Jammu.pdf,1981 Jammu.pdf,Village/Town Directory volume,English or bilingual,"[230, 231]","[""212"", ""213""]",output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Jammu_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 212-213; source page 232 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Jammu,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Jammu.pdf,1981 Jammu.pdf,Village/Town Directory volume,English or bilingual,"[196, 197]","[""178"", ""179""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Jammu_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities, including the medical and drinking-water continuation; source page 198 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Kargil,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Kargil.pdf,1981 Kargil.pdf,Village/Town Directory volume,English or bilingual,[59],[null],output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Kargil_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 52; source page 60 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Kargil,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Kargil.pdf,1981 Kargil.pdf,Village/Town Directory volume,English or bilingual,[60],[null],output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Kargil_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 53; source page 61 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Kargil,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Kargil.pdf,1981 Kargil.pdf,Village/Town Directory volume,English or bilingual,"[49, 50]","[""42"", ""43""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Kargil_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 51 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Kathua,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Kathua.pdf,1981 Kathua.pdf,Village/Town Directory volume,English or bilingual,[127],[null],output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Kathua_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 112; source page 128 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Kathua,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Kathua.pdf,1981 Kathua.pdf,Village/Town Directory volume,English or bilingual,"[128, 129]","[""113"", ""114""]",output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Kathua_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 113-114; source page 130 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Kathua,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Kathua.pdf,1981 Kathua.pdf,Village/Town Directory volume,English or bilingual,"[111, 112]","[""96"", ""97""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Kathua_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 113 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Kupwara,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Kupwara.pdf,1981 Kupwara.pdf,Village/Town Directory volume,English or bilingual,[97],"[""80""]",output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Kupwara_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 80; source page 98 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Kupwara,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Kupwara.pdf,1981 Kupwara.pdf,Village/Town Directory volume,English or bilingual,[98],"[""81""]",output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Kupwara_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 81; source page 99 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Kupwara,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Kupwara.pdf,1981 Kupwara.pdf,Village/Town Directory volume,English or bilingual,"[87, 88]","[""70"", ""71""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Kupwara_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 89 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Ladakh,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Ladakh.pdf,1981 Ladakh.pdf,Village/Town Directory volume,English or bilingual,[72],"[""56""]",output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Ladakh_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 56; source page 73 begins Statement V.","[""manual_verified""]"
