state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Karnataka,Bangalore,civic_amenities,Trimmed,1981/Karnataka/1981 Bangalore.pdf,1981 Bangalore.pdf,Village/Town Directory volume,English or bilingual,"[604, 605, 606, 607, 608, 609]","[""518"", ""519"", null, null, ""522"", null]",output/pdf/1981_trimmed/Karnataka/civic amenities/1981_Bangalore_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, including the paired civic and other-amenities continuation pages; source page 610 begins Statement IV-A.","[""manual_verified""]"
Karnataka,Bangalore,medical_educational_amenities,Trimmed,1981/Karnataka/1981 Bangalore.pdf,1981 Bangalore.pdf,Village/Town Directory volume,English or bilingual,"[620, 621, 622, 623, 624, 625, 626, 627, 628, 629]","[""534"", null, null, ""537"", ""538"", ""539"", ""540"", null, ""542"", null]",output/pdf/1981_trimmed/Karnataka/mededu/1981_Bangalore_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, including all continuation columns; source page 630 begins Statement VI.","[""manual_verified""]"
Karnataka,Bangalore,tehsil_appendix,Trimmed,1981/Karnataka/1981 Bangalore.pdf,1981 Bangalore.pdf,Village/Town Directory volume,English or bilingual,"[560, 561, 562, 563]","[""474"", ""475"", ""476"", ""477""]",output/pdf/1981_trimmed/Karnataka/tehsil appendix/1981_Bangalore_tehsil_appendix.pdf,"Village Directory Appendix I, Taluk-wise Abstract of Educational, Medical and Other Amenities; source pages 562-563 carry the end of the appendix with the next appendix material also entering the full source pages, and source page 564 begins Appendix III.","[""manual_verified""]"
Karnataka,Belgaum,civic_amenities,Trimmed,1981/Karnataka/1981 Belgaum.pdf,1981 Belgaum.pdf,Village/Town Directory volume,English or bilingual,"[223, 224, 225, 226]","[""210"", null, ""212"", null]",output/pdf/1981_trimmed/Karnataka/civic amenities/1981_Belgaum_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, including both civic and other-amenities continuation pages; source page 227 begins Statement V.","[""manual_verified""]"
Karnataka,Belgaum,medical_educational_amenities,Trimmed,1981/Karnataka/1981 Belgaum.pdf,1981 Belgaum.pdf,Village/Town Directory volume,English or bilingual,"[227, 228, 229, 230]","[""214"", ""215"", ""216"", ""217""]",output/pdf/1981_trimmed/Karnataka/mededu/1981_Belgaum_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, including the continuation and conclusion pages; source page 231 begins Statement VI.","[""manual_verified""]"
Karnataka,Belgaum,tehsil_appendix,Trimmed,1981/Karnataka/1981 Belgaum.pdf,1981 Belgaum.pdf,Village/Town Directory volume,English or bilingual,"[201, 202, 203, 204]","[""188"", null, ""190"", ""191""]",output/pdf/1981_trimmed/Karnataka/tehsil appendix/1981_Belgaum_tehsil_appendix.pdf,"Village Directory Appendix I, Taluk-wise Abstract of Educational, Medical and Other Amenities; source pages 203-204 also carry the beginning of Appendix II material on the full source pages, and source page 205 begins Appendix III.","[""manual_verified""]"
Karnataka,Bellary,civic_amenities,Trimmed,1981/Karnataka/1981 Bellary.pdf,1981 Bellary.pdf,Village/Town Directory volume,English or bilingual,"[170, 171]","[""154"", null]",output/pdf/1981_trimmed/Karnataka/civic amenities/1981_Bellary_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source page 172 begins the separate Statement IV-A slum table.,"[""manual_verified""]"
Karnataka,Bellary,medical_educational_amenities,Trimmed,1981/Karnataka/1981 Bellary.pdf,1981 Bellary.pdf,Village/Town Directory volume,English or bilingual,"[174, 175, 176, 177]","[""158"", ""1979"", null, ""161""]",output/pdf/1981_trimmed/Karnataka/mededu/1981_Bellary_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, including all continuation pages; source page 178 begins Statement VI.","[""manual_verified""]"
Karnataka,Bellary,tehsil_appendix,Trimmed,1981/Karnataka/1981 Bellary.pdf,1981 Bellary.pdf,Village/Town Directory volume,English or bilingual,"[148, 149, 150, 151]","[null, null, ""134"", null]",output/pdf/1981_trimmed/Karnataka/tehsil appendix/1981_Bellary_tehsil_appendix.pdf,"Village Directory Appendix I, Taluk-wise Abstract of Educational, Medical and Other Amenities; source page 150 also begins Appendix II at the page boundary, source page 151 completes the communications continuation, and source page 152 begins Appendix III.","[""manual_verified""]"
Karnataka,Bidar,civic_amenities,Not trimmed,1981/Karnataka/1981 Bidar.pdf,1981 Bidar.pdf,Village/Town Directory volume,English or bilingual,[],[],,"The 48-page volume is a Scheduled Castes and Scheduled Tribes supplement, not the main Village and Town Directory volume; it contains no Civic Statement IV.","[""manual_absent_or_ineligible""]"
