state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Kerala,Alleppey,civic_amenities,Trimmed,1981/Kerala/1981 Alleppey.pdf,1981 Alleppey.pdf,Village/Town Directory volume,English or bilingual,"[106, 107]","[null, null]",output/pdf/1981_trimmed/Kerala/civic amenities/1981_Alleppey_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source page 108 begins Statement V.,"[""manual_verified""]"
Kerala,Alleppey,medical_educational_amenities,Trimmed,1981/Kerala/1981 Alleppey.pdf,1981 Alleppey.pdf,Village/Town Directory volume,English or bilingual,"[108, 109]","[null, null]",output/pdf/1981_trimmed/Kerala/mededu/1981_Alleppey_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities; source page 110 begins the Town Directory outgrowth appendix.","[""manual_verified""]"
Kerala,Alleppey,tehsil_appendix,Trimmed,1981/Kerala/1981 Alleppey.pdf,1981 Alleppey.pdf,Village/Town Directory volume,English or bilingual,"[96, 97]","[null, null]",output/pdf/1981_trimmed/Kerala/tehsil appendix/1981_Alleppey_tehsil_appendix.pdf,"Village Directory Appendix I, Taluk-wise Abstract of Educational, Medical and Other Amenities; source page 98 begins Appendix II.","[""manual_verified""]"
Kerala,Cannanore,civic_amenities,Trimmed,1981/Kerala/1981 Cannanore.pdf,1981 Cannanore.pdf,Village/Town Directory volume,English or bilingual,"[115, 116]","[null, ""1979""]",output/pdf/1981_trimmed/Kerala/civic amenities/1981_Cannanore_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source page 117 begins Statement V.,"[""manual_verified""]"
Kerala,Cannanore,medical_educational_amenities,Trimmed,1981/Kerala/1981 Cannanore.pdf,1981 Cannanore.pdf,Village/Town Directory volume,English or bilingual,"[117, 118, 119, 120]","[null, null, null, null]",output/pdf/1981_trimmed/Kerala/mededu/1981_Cannanore_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, including all continuation pages; source page 121 begins Statement VI.","[""manual_verified""]"
Kerala,Cannanore,tehsil_appendix,Trimmed,1981/Kerala/1981 Cannanore.pdf,1981 Cannanore.pdf,Village/Town Directory volume,English or bilingual,"[101, 102]","[null, null]",output/pdf/1981_trimmed/Kerala/tehsil appendix/1981_Cannanore_tehsil_appendix.pdf,"Village Directory Appendix I, Taluk-wise Abstract of Educational, Medical and Other Amenities; source page 103 begins Appendix II.","[""manual_verified""]"
Kerala,Ernakulam,civic_amenities,Trimmed,1981/Kerala/1981 Ernakulam.pdf,1981 Ernakulam.pdf,Village/Town Directory volume,English or bilingual,"[162, 163]","[null, ""1979""]",output/pdf/1981_trimmed/Kerala/civic amenities/1981_Ernakulam_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source page 164 begins Statement V.,"[""manual_verified""]"
Kerala,Ernakulam,medical_educational_amenities,Trimmed,1981/Kerala/1981 Ernakulam.pdf,1981 Ernakulam.pdf,Village/Town Directory volume,English or bilingual,"[164, 165, 166, 167]","[null, ""1979"", null, null]",output/pdf/1981_trimmed/Kerala/mededu/1981_Ernakulam_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, including all continuation pages; source page 168 begins Statement VI.","[""manual_verified""]"
Kerala,Ernakulam,tehsil_appendix,Trimmed,1981/Kerala/1981 Ernakulam.pdf,1981 Ernakulam.pdf,Village/Town Directory volume,English or bilingual,"[148, 149]","[null, null]",output/pdf/1981_trimmed/Kerala/tehsil appendix/1981_Ernakulam_tehsil_appendix.pdf,"Village Directory Appendix I, Taluk-wise Abstract of Educational, Medical and Other Amenities; source page 150 begins Appendix II.","[""manual_verified""]"
Kerala,Idikki,civic_amenities,Trimmed,1981/Kerala/1981 Idikki.pdf,1981 Idikki.pdf,directory candidate,English or bilingual,"[78, 79]","[null, ""1979""]",output/pdf/1981_trimmed/Kerala/civic amenities/1981_Idikki_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; the civic table starts on source page 78 and continues on source page 79.,"[""manual_verified""]"
Kerala,Idikki,medical_educational_amenities,Trimmed,1981/Kerala/1981 Idikki.pdf,1981 Idikki.pdf,directory candidate,English or bilingual,"[78, 79]","[null, ""1979""]",output/pdf/1981_trimmed/Kerala/mededu/1981_Idikki_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities shares source pages 78-79 with the end of Statement IV; source page 80 begins the outgrowth appendix.","[""manual_verified""]"
Kerala,Idikki,tehsil_appendix,Trimmed,1981/Kerala/1981 Idikki.pdf,1981 Idikki.pdf,directory candidate,English or bilingual,"[68, 69]","[null, null]",output/pdf/1981_trimmed/Kerala/tehsil appendix/1981_Idikki_tehsil_appendix.pdf,"Village Directory Appendix I, Taluk-wise Abstract of Educational, Medical and Other Amenities; source page 70 begins Appendix II.","[""manual_verified""]"
Kerala,Kasaragod,civic_amenities,Trimmed,1981/Kerala/1981 Kasaragod.pdf,1981 Kasaragod.pdf,directory candidate,English or bilingual,"[84, 85]","[null, ""1979""]",output/pdf/1981_trimmed/Kerala/civic amenities/1981_Kasaragod_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source page 86 begins Statement V.,"[""manual_verified""]"
Kerala,Kasaragod,medical_educational_amenities,Trimmed,1981/Kerala/1981 Kasaragod.pdf,1981 Kasaragod.pdf,directory candidate,English or bilingual,"[84, 85]","[null, ""1979""]",output/pdf/1981_trimmed/Kerala/mededu/1981_Kasaragod_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities on source pages 84-85; source page 86 begins the Town Directory outgrowth appendix.","[""manual_verified""]"
Kerala,Kasaragod,tehsil_appendix,Trimmed,1981/Kerala/1981 Kasaragod.pdf,1981 Kasaragod.pdf,directory candidate,English or bilingual,"[74, 75]","[null, null]",output/pdf/1981_trimmed/Kerala/tehsil appendix/1981_Kasaragod_tehsil_appendix.pdf,"Village Directory Appendix I, Taluk-wise Abstract of Educational, Medical and Other Amenities; source page 76 begins Appendix II.","[""manual_verified""]"
