state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Madhya Pradesh,Balaghat,civic_amenities,Trimmed,1981/Madhya Pradesh/1981 Balaghat.pdf,1981 Balaghat.pdf,directory candidate,English or bilingual,"[292, 293]","[""254"", ""255""]",output/pdf/1981_trimmed/Madhya Pradesh/civic amenities/1981_Balaghat_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 254-255; source page 294 begins Statement IV-A.","[""manual_verified""]"
Madhya Pradesh,Balaghat,medical_educational_amenities,Trimmed,1981/Madhya Pradesh/1981 Balaghat.pdf,1981 Balaghat.pdf,directory candidate,English or bilingual,"[296, 297]","[""258"", null]",output/pdf/1981_trimmed/Madhya Pradesh/mededu/1981_Balaghat_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 258-259; source page 298 begins Statement VI.","[""manual_verified""]"
Madhya Pradesh,Balaghat,tehsil_appendix,Trimmed,1981/Madhya Pradesh/1981 Balaghat.pdf,1981 Balaghat.pdf,directory candidate,English or bilingual,"[234, 235, 236, 237]","[""196"", ""197"", ""198"", ""199""]",output/pdf/1981_trimmed/Madhya Pradesh/tehsil appendix/1981_Balaghat_tehsil_appendix.pdf,"Village Directory Appendix I Taluk-wise Abstract of Educational, Medical and Other Amenities, printed pages 196-199; source page 238 begins Appendix II.","[""manual_verified""]"
Madhya Pradesh,Bastar,civic_amenities,Trimmed,1981/Madhya Pradesh/1981 Bastar.pdf,1981 Bastar.pdf,directory candidate,English or bilingual,"[685, 686]","[null, null]",output/pdf/1981_trimmed/Madhya Pradesh/civic amenities/1981_Bastar_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source page 687 begins Statement IV-A.,"[""manual_verified""]"
Madhya Pradesh,Bastar,medical_educational_amenities,Trimmed,1981/Madhya Pradesh/1981 Bastar.pdf,1981 Bastar.pdf,directory candidate,English or bilingual,"[689, 690]","[""642"", null]",output/pdf/1981_trimmed/Madhya Pradesh/mededu/1981_Bastar_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities; source page 691 begins Statement VI.","[""manual_verified""]"
Madhya Pradesh,Bastar,tehsil_appendix,Trimmed,1981/Madhya Pradesh/1981 Bastar.pdf,1981 Bastar.pdf,directory candidate,English or bilingual,"[559, 560, 561, 562]","[null, null, null, ""511""]",output/pdf/1981_trimmed/Madhya Pradesh/tehsil appendix/1981_Bastar_tehsil_appendix.pdf,"Village Directory Appendix I Taluk-wise Abstract of Educational, Medical and Other Amenities, printed pages 508-511; source page 563 begins Appendix II.","[""manual_verified""]"
Madhya Pradesh,Betul,civic_amenities,Trimmed,1981/Madhya Pradesh/1981 Betul.pdf,1981 Betul.pdf,directory candidate,English or bilingual,"[302, 303]","[""258"", ""259""]",output/pdf/1981_trimmed/Madhya Pradesh/civic amenities/1981_Betul_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 258-259; source page 304 begins Statement V.","[""manual_verified""]"
Madhya Pradesh,Betul,medical_educational_amenities,Trimmed,1981/Madhya Pradesh/1981 Betul.pdf,1981 Betul.pdf,directory candidate,English or bilingual,"[304, 305]","[null, ""261""]",output/pdf/1981_trimmed/Madhya Pradesh/mededu/1981_Betul_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 260-261; source page 306 begins Statement VI.","[""manual_verified""]"
Madhya Pradesh,Betul,tehsil_appendix,Trimmed,1981/Madhya Pradesh/1981 Betul.pdf,1981 Betul.pdf,directory candidate,English or bilingual,"[240, 241, 242, 243]","[null, ""197"", ""198"", ""199""]",output/pdf/1981_trimmed/Madhya Pradesh/tehsil appendix/1981_Betul_tehsil_appendix.pdf,"Village Directory Appendix I Taluk-wise Abstract of Educational, Medical and Other Amenities, printed pages 196-199; source page 244 begins Appendix II.","[""manual_verified""]"
Madhya Pradesh,Bhind,civic_amenities,Trimmed,1981/Madhya Pradesh/1981 Bhind.pdf,1981 Bhind.pdf,Village/Town Directory volume,English or bilingual,"[218, 219]","[""178"", null]",output/pdf/1981_trimmed/Madhya Pradesh/civic amenities/1981_Bhind_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 178-179; source page 220 begins Statement IV-A.","[""manual_verified""]"
