state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Maharashtra,Ahmadnagar,civic_amenities,Trimmed,1981/Maharashtra/1981 Ahmadnagar.pdf,1981 Ahmadnagar.pdf,Village/Town Directory volume,English or bilingual,[186],"[""174""]",output/pdf/1981_trimmed/Maharashtra/civic amenities/1981_Ahmadnagar_civic_amenities.pdf,"Statement IV Civic and Other Amenities, printed page 174; source page 187 begins Statement IV-A.","[""manual_verified""]"
Maharashtra,Ahmadnagar,medical_educational_amenities,Trimmed,1981/Maharashtra/1981 Ahmadnagar.pdf,1981 Ahmadnagar.pdf,Village/Town Directory volume,English or bilingual,"[188, 189]","[""176"", ""177""]",output/pdf/1981_trimmed/Maharashtra/mededu/1981_Ahmadnagar_medical_educational_amenities.pdf,"Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 176-177; source page 190 begins Statement VI.","[""manual_verified""]"
Maharashtra,Ahmadnagar,tehsil_appendix,Trimmed,1981/Maharashtra/1981 Ahmadnagar.pdf,1981 Ahmadnagar.pdf,Village/Town Directory volume,English or bilingual,"[148, 149]","[""136"", ""137""]",output/pdf/1981_trimmed/Maharashtra/tehsil appendix/1981_Ahmadnagar_tehsil_appendix.pdf,"Village Directory Appendix I Tahsil-wise abstract of educational, medical and other amenities, printed pages 136-137; source page 150 begins Appendix II.","[""manual_verified""]"
Maharashtra,Akola,civic_amenities,Trimmed,1981/Maharashtra/1981 Akola.pdf,1981 Akola.pdf,Village/Town Directory volume,English or bilingual,[170],"[""160""]",output/pdf/1981_trimmed/Maharashtra/civic amenities/1981_Akola_civic_amenities.pdf,"Statement IV Civic and Other Amenities, printed page 160; source page 171 begins Statement IV-A.","[""manual_verified""]"
Maharashtra,Akola,medical_educational_amenities,Trimmed,1981/Maharashtra/1981 Akola.pdf,1981 Akola.pdf,Village/Town Directory volume,English or bilingual,"[172, 173]","[""162"", ""163""]",output/pdf/1981_trimmed/Maharashtra/mededu/1981_Akola_medical_educational_amenities.pdf,"Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 162-163; source page 174 begins Statement VI.","[""manual_verified""]"
Maharashtra,Akola,tehsil_appendix,Trimmed,1981/Maharashtra/1981 Akola.pdf,1981 Akola.pdf,Village/Town Directory volume,English or bilingual,"[144, 145]","[""134"", ""135""]",output/pdf/1981_trimmed/Maharashtra/tehsil appendix/1981_Akola_tehsil_appendix.pdf,"Village Directory Appendix I Tahsil-wise abstract of educational, medical and other amenities, printed pages 134-135; source page 146 begins Appendix II.","[""manual_verified""]"
Maharashtra,Amravati,civic_amenities,Trimmed,1981/Maharashtra/1981 Amravati.pdf,1981 Amravati.pdf,Village/Town Directory volume,English or bilingual,[190],"[""80""]",output/pdf/1981_trimmed/Maharashtra/civic amenities/1981_Amravati_civic_amenities.pdf,"Statement IV Civic and Other Amenities, printed page 180; source page 191 begins Statement IV-A.","[""manual_verified""]"
Maharashtra,Amravati,medical_educational_amenities,Trimmed,1981/Maharashtra/1981 Amravati.pdf,1981 Amravati.pdf,Village/Town Directory volume,English or bilingual,"[192, 193]","[""182"", ""183""]",output/pdf/1981_trimmed/Maharashtra/mededu/1981_Amravati_medical_educational_amenities.pdf,"Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 182-183; source page 194 begins Statement VI.","[""manual_verified""]"
Maharashtra,Amravati,tehsil_appendix,Trimmed,1981/Maharashtra/1981 Amravati.pdf,1981 Amravati.pdf,Village/Town Directory volume,English or bilingual,"[158, 159]","[""148"", ""149""]",output/pdf/1981_trimmed/Maharashtra/tehsil appendix/1981_Amravati_tehsil_appendix.pdf,"Village Directory Appendix I Tahsil-wise abstract of educational, medical and other amenities, printed pages 148-149; source page 160 begins Appendix II.","[""manual_verified""]"
Maharashtra,Bhandara,civic_amenities,Trimmed,1981/Maharashtra/1981 Bhandara.pdf,1981 Bhandara.pdf,Village/Town Directory volume,English or bilingual,[200],"[""190""]",output/pdf/1981_trimmed/Maharashtra/civic amenities/1981_Bhandara_civic_amenities.pdf,"Statement IV Civic and Other Amenities, printed page 190; source page 201 begins Statement IV-A.","[""manual_verified""]"
Maharashtra,Bhandara,medical_educational_amenities,Trimmed,1981/Maharashtra/1981 Bhandara.pdf,1981 Bhandara.pdf,Village/Town Directory volume,English or bilingual,"[202, 203]","[""192"", ""193""]",output/pdf/1981_trimmed/Maharashtra/mededu/1981_Bhandara_medical_educational_amenities.pdf,"Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 192-193; source page 204 begins Statement VI.","[""manual_verified""]"
