state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Meghalaya,East Garo Hills,civic_amenities,Trimmed,1981/Meghalaya/1981 East Garo Hills.pdf,1981 East Garo Hills.pdf,Village/Town Directory volume,English or bilingual,[150],"[""124""]",output/pdf/1981_trimmed/Meghalaya/civic amenities/1981_East Garo Hills_civic_amenities.pdf,"Statement IV Civic and Other Amenities, printed page 124; source page 151 begins Statement V.","[""manual_verified""]"
Meghalaya,East Garo Hills,medical_educational_amenities,Trimmed,1981/Meghalaya/1981 East Garo Hills.pdf,1981 East Garo Hills.pdf,Village/Town Directory volume,English or bilingual,[151],[null],output/pdf/1981_trimmed/Meghalaya/mededu/1981_East Garo Hills_medical_educational_amenities.pdf,"Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 125; source page 152 begins Statement VI.","[""manual_verified""]"
Meghalaya,East Garo Hills,tehsil_appendix,Trimmed,1981/Meghalaya/1981 East Garo Hills.pdf,1981 East Garo Hills.pdf,Village/Town Directory volume,English or bilingual,"[118, 119]","[""91"", ""92""]",output/pdf/1981_trimmed/Meghalaya/tehsil appendix/1981_East Garo Hills_tehsil_appendix.pdf,"Village Directory Appendix I Tehsil-wise abstract of educational, medical and other amenities, printed pages 91-92; source page 120 begins Appendix IV.","[""manual_verified""]"
Meghalaya,Jaintia Khasi Hills,civic_amenities,Trimmed,1981/Meghalaya/1981 Jaintia Khasi Hills.pdf,1981 Jaintia Khasi Hills.pdf,Village/Town Directory volume,English or bilingual,[149],"[""123""]",output/pdf/1981_trimmed/Meghalaya/civic amenities/1981_Jaintia Khasi Hills_civic_amenities.pdf,"Statement IV Civic and Other Amenities, printed page 123; source page 150 is Statement IV-A.","[""manual_verified""]"
Meghalaya,Jaintia Khasi Hills,medical_educational_amenities,Trimmed,1981/Meghalaya/1981 Jaintia Khasi Hills.pdf,1981 Jaintia Khasi Hills.pdf,Village/Town Directory volume,English or bilingual,[151],"[""125""]",output/pdf/1981_trimmed/Meghalaya/mededu/1981_Jaintia Khasi Hills_medical_educational_amenities.pdf,"Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 125; source page 152 begins Statement VI.","[""manual_verified""]"
Meghalaya,Jaintia Khasi Hills,tehsil_appendix,Trimmed,1981/Meghalaya/1981 Jaintia Khasi Hills.pdf,1981 Jaintia Khasi Hills.pdf,Village/Town Directory volume,English or bilingual,"[124, 125]","[null, null]",output/pdf/1981_trimmed/Meghalaya/tehsil appendix/1981_Jaintia Khasi Hills_tehsil_appendix.pdf,"Village Directory Appendix I C.D. Blockwise abstract of educational, medical and other amenities, printed pages 98-99; source page 126 begins Appendix II.","[""manual_verified""]"
Meghalaya,West Garo Hills,civic_amenities,Trimmed,1981/Meghalaya/1981 West Garo Hills.pdf,1981 West Garo Hills.pdf,Village/Town Directory volume,English or bilingual,[321],"[""283""]",output/pdf/1981_trimmed/Meghalaya/civic amenities/1981_West Garo Hills_civic_amenities.pdf,"Statement IV Civic and Other Amenities, printed page 283; source page 320 is Statement IV-A and source page 322 begins Statement V.","[""manual_verified""]"
Meghalaya,West Garo Hills,medical_educational_amenities,Trimmed,1981/Meghalaya/1981 West Garo Hills.pdf,1981 West Garo Hills.pdf,Village/Town Directory volume,English or bilingual,[322],"[""284""]",output/pdf/1981_trimmed/Meghalaya/mededu/1981_West Garo Hills_medical_educational_amenities.pdf,"Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 284; source page 323 begins Statement VI.","[""manual_verified""]"
Meghalaya,West Garo Hills,tehsil_appendix,Trimmed,1981/Meghalaya/1981 West Garo Hills.pdf,1981 West Garo Hills.pdf,Village/Town Directory volume,English or bilingual,"[324, 325, 326, 327, 328, 329, 330, 331, 332, 333]","[""286"", null, ""288"", ""289"", ""290"", ""291"", ""292"", null, null, ""295""]",output/pdf/1981_trimmed/Meghalaya/tehsil appendix/1981_West Garo Hills_tehsil_appendix.pdf,"Village Directory Appendix I C.D. Blockwise abstract of educational, medical and other amenities, printed pages 286-295; source page 334 begins Appendix II.","[""manual_verified""]"
Meghalaya,West Khasi Hills,civic_amenities,Trimmed,1981/Meghalaya/1981 West Khasi Hills.pdf,1981 West Khasi Hills.pdf,Village/Town Directory volume,English or bilingual,[194],"[""169""]",output/pdf/1981_trimmed/Meghalaya/civic amenities/1981_West Khasi Hills_civic_amenities.pdf,"Statement IV Civic and Other Amenities, printed page 169; source page 195 is Statement IV-A.","[""manual_verified""]"
Meghalaya,West Khasi Hills,medical_educational_amenities,Trimmed,1981/Meghalaya/1981 West Khasi Hills.pdf,1981 West Khasi Hills.pdf,Village/Town Directory volume,English or bilingual,[196],"[""171""]",output/pdf/1981_trimmed/Meghalaya/mededu/1981_West Khasi Hills_medical_educational_amenities.pdf,"Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 171; source page 197 begins Statement VI.","[""manual_verified""]"
Meghalaya,West Khasi Hills,tehsil_appendix,Trimmed,1981/Meghalaya/1981 West Khasi Hills.pdf,1981 West Khasi Hills.pdf,Village/Town Directory volume,English or bilingual,"[165, 166]","[""140"", null]",output/pdf/1981_trimmed/Meghalaya/tehsil appendix/1981_West Khasi Hills_tehsil_appendix.pdf,"Village Directory Appendix I C.D. Blockwise abstract of educational, medical and other amenities, printed pages 140-141; source page 167 begins Appendix II.","[""manual_verified""]"
