state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Nagaland,Kohima,civic_amenities,Trimmed,1981/Nagaland/1981 Kohima.pdf,1981 Kohima.pdf,Village/Town Directory volume,English or bilingual,[171],[null],output/pdf/1981_trimmed/Nagaland/civic amenities/1981_Kohima_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 155; source page 172 begins Statement V.","[""manual_verified""]"
Nagaland,Kohima,medical_educational_amenities,Trimmed,1981/Nagaland/1981 Kohima.pdf,1981 Kohima.pdf,Village/Town Directory volume,English or bilingual,"[172, 173]","[null, null]",output/pdf/1981_trimmed/Nagaland/mededu/1981_Kohima_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 156-157; source page 174 begins Statement VI.","[""manual_verified""]"
Nagaland,Kohima,tehsil_appendix,Trimmed,1981/Nagaland/1981 Kohima.pdf,1981 Kohima.pdf,Village/Town Directory volume,English or bilingual,"[152, 153, 154, 155]","[null, null, null, null]",output/pdf/1981_trimmed/Nagaland/tehsil appendix/1981_Kohima_tehsil_appendix.pdf,"Village Directory Appendix I Circle-wise abstract of educational, medical and other amenities, printed pages 136-139; source page 156 begins Appendix II.","[""manual_verified""]"
Nagaland,Mokokchung,civic_amenities,Trimmed,1981/Nagaland/1981 Mokokchung.pdf,1981 Mokokchung.pdf,Village/Town Directory volume,English or bilingual,"[112, 113]","[null, null]",output/pdf/1981_trimmed/Nagaland/civic amenities/1981_Mokokchung_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 96-97; complete table spans source pages 112-113.","[""manual_verified""]"
Nagaland,Mokokchung,medical_educational_amenities,Trimmed,1981/Nagaland/1981 Mokokchung.pdf,1981 Mokokchung.pdf,Village/Town Directory volume,English or bilingual,"[112, 113]","[null, null]",output/pdf/1981_trimmed/Nagaland/mededu/1981_Mokokchung_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 96-97; complete table spans source pages 112-113.","[""manual_verified""]"
Nagaland,Mokokchung,tehsil_appendix,Trimmed,1981/Nagaland/1981 Mokokchung.pdf,1981 Mokokchung.pdf,Village/Town Directory volume,English or bilingual,"[98, 99, 100, 101]","[null, null, null, null]",output/pdf/1981_trimmed/Nagaland/tehsil appendix/1981_Mokokchung_tehsil_appendix.pdf,"Village Directory Appendix I Circle-wise abstract of educational, medical and other amenities, printed pages 82-85; source page 102 begins Appendices II-III.","[""manual_verified""]"
Nagaland,Mon,civic_amenities,Not trimmed,1981/Nagaland/1981 Mon.pdf,1981 Mon.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,Part XIII-B Primary Census Abstract-only volume; no Village/Town Directory tables.,"[""manual_absent_or_ineligible""]"
Nagaland,Mon,medical_educational_amenities,Not trimmed,1981/Nagaland/1981 Mon.pdf,1981 Mon.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,Part XIII-B Primary Census Abstract-only volume; no Village/Town Directory tables.,"[""manual_absent_or_ineligible""]"
Nagaland,Mon,tehsil_appendix,Not trimmed,1981/Nagaland/1981 Mon.pdf,1981 Mon.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,Part XIII-B Primary Census Abstract-only volume; no Village Directory Appendix I.,"[""manual_absent_or_ineligible""]"
Nagaland,Phek,civic_amenities,Not trimmed,1981/Nagaland/1981 Phek.pdf,1981 Phek.pdf,Village/Town Directory volume,English or bilingual,[],[],,Village Directory states that the district has no town; therefore no Town Directory Statement IV Civic and Other Amenities.,"[""manual_absent_or_ineligible""]"
Nagaland,Phek,medical_educational_amenities,Not trimmed,1981/Nagaland/1981 Phek.pdf,1981 Phek.pdf,Village/Town Directory volume,English or bilingual,[],[],,"Village Directory states that the district has no town; therefore no Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities.","[""manual_absent_or_ineligible""]"
Nagaland,Phek,tehsil_appendix,Trimmed,1981/Nagaland/1981 Phek.pdf,1981 Phek.pdf,Village/Town Directory volume,English or bilingual,"[84, 85, 86, 87]","[null, null, null, null]",output/pdf/1981_trimmed/Nagaland/tehsil appendix/1981_Phek_tehsil_appendix.pdf,"Village Directory Appendix I Circle-wise abstract of educational, medical and other amenities, printed pages 66-69; source page 88 begins Appendix III.","[""manual_verified""]"
Nagaland,Tuensang,civic_amenities,Trimmed,1981/Nagaland/1981 Tuensang.pdf,1981 Tuensang.pdf,Village/Town Directory volume,English or bilingual,[174],[null],output/pdf/1981_trimmed/Nagaland/civic amenities/1981_Tuensang_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 153; source page 175 begins Statement V.","[""manual_verified""]"
Nagaland,Tuensang,medical_educational_amenities,Trimmed,1981/Nagaland/1981 Tuensang.pdf,1981 Tuensang.pdf,Village/Town Directory volume,English or bilingual,"[175, 176]","[null, null]",output/pdf/1981_trimmed/Nagaland/mededu/1981_Tuensang_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 154-155; source page 176 also begins Statement VI and is retained whole.","[""manual_verified""]"
Nagaland,Tuensang,tehsil_appendix,Trimmed,1981/Nagaland/1981 Tuensang.pdf,1981 Tuensang.pdf,Village/Town Directory volume,English or bilingual,"[161, 162]","[null, null]",output/pdf/1981_trimmed/Nagaland/tehsil appendix/1981_Tuensang_tehsil_appendix.pdf,"Village Directory Appendix I Tahsil-wise abstract of educational, medical and other amenities, printed pages 141-142; source page 163 begins Appendix II.","[""manual_verified""]"
Nagaland,Zunhebota,civic_amenities,Trimmed,1981/Nagaland/1981 Zunhebota.pdf,1981 Zunhebota.pdf,Village/Town Directory volume,English or bilingual,"[118, 119]","[null, null]",output/pdf/1981_trimmed/Nagaland/civic amenities/1981_Zunhebota_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 100-101; complete table spans source pages 118-119.","[""manual_verified""]"
Nagaland,Zunhebota,medical_educational_amenities,Trimmed,1981/Nagaland/1981 Zunhebota.pdf,1981 Zunhebota.pdf,Village/Town Directory volume,English or bilingual,"[120, 121]","[null, null]",output/pdf/1981_trimmed/Nagaland/mededu/1981_Zunhebota_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 102-103; source page 121 also begins Statement VI and is retained whole.","[""manual_verified""]"
Nagaland,Zunhebota,tehsil_appendix,Trimmed,1981/Nagaland/1981 Zunhebota.pdf,1981 Zunhebota.pdf,Village/Town Directory volume,English or bilingual,"[108, 109]","[null, null]",output/pdf/1981_trimmed/Nagaland/tehsil appendix/1981_Zunhebota_tehsil_appendix.pdf,"Village Directory Appendix I Circle-wise abstract of educational, medical and other amenities, printed pages 90-91; source page 110 begins Appendix II.","[""manual_verified""]"
