state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Orissa,Balangir,civic_amenities,Trimmed,1981/Orissa/1981 Balangir.pdf,1981 Balangir.pdf,Village/Town Directory volume,English or bilingual,"[499, 500]","[""422"", null]",output/pdf/1981_trimmed/Orissa/civic amenities/1981_Balangir_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 422-423; source page 501 begins Statement V.","[""manual_verified""]"
Orissa,Balangir,medical_educational_amenities,Trimmed,1981/Orissa/1981 Balangir.pdf,1981 Balangir.pdf,Village/Town Directory volume,English or bilingual,"[501, 502]","[""424"", null]",output/pdf/1981_trimmed/Orissa/mededu/1981_Balangir_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 424-425; source page 503 begins Statement VI.","[""manual_verified""]"
Orissa,Balangir,tehsil_appendix,Trimmed,1981/Orissa/1981 Balangir.pdf,1981 Balangir.pdf,Village/Town Directory volume,English or bilingual,"[427, 428, 429, 430]","[""350"", ""351"", ""352"", ""353""]",output/pdf/1981_trimmed/Orissa/tehsil appendix/1981_Balangir_tehsil_appendix.pdf,"Village Directory Appendix I Tahasil-wise abstract of educational, medical and other amenities; source page 426 is the section separator and source page 431 begins Appendix II.","[""manual_verified""]"
Orissa,Baleshwar,civic_amenities,Trimmed,1981/Orissa/1981 Baleshwar.pdf,1981 Baleshwar.pdf,Village/Town Directory volume,English or bilingual,"[656, 657]","[""568"", ""569""]",output/pdf/1981_trimmed/Orissa/civic amenities/1981_Baleshwar_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 568-569; source page 658 begins Statement V.","[""manual_verified""]"
Orissa,Baleshwar,medical_educational_amenities,Trimmed,1981/Orissa/1981 Baleshwar.pdf,1981 Baleshwar.pdf,Village/Town Directory volume,English or bilingual,"[658, 659]","[""570"", ""571""]",output/pdf/1981_trimmed/Orissa/mededu/1981_Baleshwar_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 570-571; source page 660 begins Statement VI.","[""manual_verified""]"
Orissa,Baleshwar,tehsil_appendix,Trimmed,1981/Orissa/1981 Baleshwar.pdf,1981 Baleshwar.pdf,Village/Town Directory volume,English or bilingual,"[578, 579, 580, 581]","[""490"", ""491"", ""492"", ""493""]",output/pdf/1981_trimmed/Orissa/tehsil appendix/1981_Baleshwar_tehsil_appendix.pdf,"Village Directory Appendix I Tahasil-wise abstract of educational, medical and other amenities; source page 577 is the section separator and source page 582 begins Appendix II.","[""manual_verified""]"
Orissa,Cuttack,civic_amenities,Not trimmed,1981/Orissa/1981 Cuttack.pdf,1981 Cuttack.pdf,Village/Town Directory volume,English or bilingual,[],[],,Part XIII-B Village and Townwise Primary Census Abstract-only volume; no Village/Town Directory Statement IV.,"[""manual_absent_or_ineligible""]"
Orissa,Cuttack,medical_educational_amenities,Not trimmed,1981/Orissa/1981 Cuttack.pdf,1981 Cuttack.pdf,Village/Town Directory volume,English or bilingual,[],[],,Part XIII-B Village and Townwise Primary Census Abstract-only volume; no Village/Town Directory Statement V.,"[""manual_absent_or_ineligible""]"
Orissa,Cuttack,tehsil_appendix,Not trimmed,1981/Orissa/1981 Cuttack.pdf,1981 Cuttack.pdf,Village/Town Directory volume,English or bilingual,[],[],,Part XIII-B Village and Townwise Primary Census Abstract-only volume; no Village Directory Appendix I amenities abstract.,"[""manual_absent_or_ineligible""]"
Orissa,Dhenkanal,civic_amenities,Trimmed,1981/Orissa/1981 Dhenkanal.pdf,1981 Dhenkanal.pdf,Village/Town Directory volume,English or bilingual,"[577, 578]","[""482"", ""483""]",output/pdf/1981_trimmed/Orissa/civic amenities/1981_Dhenkanal_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 482-483; source page 579 begins Statement V.","[""manual_verified""]"
Orissa,Dhenkanal,medical_educational_amenities,Trimmed,1981/Orissa/1981 Dhenkanal.pdf,1981 Dhenkanal.pdf,Village/Town Directory volume,English or bilingual,"[579, 580]","[""484"", null]",output/pdf/1981_trimmed/Orissa/mededu/1981_Dhenkanal_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 484-485; source page 581 begins Statement VI.","[""manual_verified""]"
Orissa,Dhenkanal,tehsil_appendix,Trimmed,1981/Orissa/1981 Dhenkanal.pdf,1981 Dhenkanal.pdf,Village/Town Directory volume,English or bilingual,"[507, 508, 509, 510]","[""412"", ""413"", ""414"", ""415""]",output/pdf/1981_trimmed/Orissa/tehsil appendix/1981_Dhenkanal_tehsil_appendix.pdf,"Village Directory Appendix I Tahasil-wise abstract of educational, medical and other amenities; source page 506 is the section separator and source page 511 begins Appendix II.","[""manual_verified""]"
Orissa,Ganjam,civic_amenities,Trimmed,1981/Orissa/1981 Ganjam.pdf,1981 Ganjam.pdf,Village/Town Directory volume,English or bilingual,"[869, 870]","[""756"", ""757""]",output/pdf/1981_trimmed/Orissa/civic amenities/1981_Ganjam_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 756-757; source page 871 begins Statement V.","[""manual_verified""]"
Orissa,Ganjam,medical_educational_amenities,Trimmed,1981/Orissa/1981 Ganjam.pdf,1981 Ganjam.pdf,Village/Town Directory volume,English or bilingual,"[871, 872]","[""758"", ""759""]",output/pdf/1981_trimmed/Orissa/mededu/1981_Ganjam_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 758-759; source page 873 begins Statement VI.","[""manual_verified""]"
Orissa,Ganjam,tehsil_appendix,Trimmed,1981/Orissa/1981 Ganjam.pdf,1981 Ganjam.pdf,Village/Town Directory volume,English or bilingual,"[779, 780, 781, 782]","[null, ""667"", ""668"", ""669""]",output/pdf/1981_trimmed/Orissa/tehsil appendix/1981_Ganjam_tehsil_appendix.pdf,"Village Directory Appendix I Tahasil-wise abstract of educational, medical and other amenities; source page 778 is the section separator and source page 783 begins Appendix II.","[""manual_verified""]"
Orissa,Kalahandi,civic_amenities,Trimmed,1981/Orissa/1981 Kalahandi.pdf,1981 Kalahandi.pdf,Village/Town Directory volume,English or bilingual,"[525, 526]","[""436"", ""437""]",output/pdf/1981_trimmed/Orissa/civic amenities/1981_Kalahandi_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 436-437; source page 527 begins Statement V.","[""manual_verified""]"
Orissa,Kalahandi,medical_educational_amenities,Trimmed,1981/Orissa/1981 Kalahandi.pdf,1981 Kalahandi.pdf,Village/Town Directory volume,English or bilingual,"[527, 528]","[""438"", ""439""]",output/pdf/1981_trimmed/Orissa/mededu/1981_Kalahandi_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 438-439; source page 529 begins Statement VI.","[""manual_verified""]"
Orissa,Kalahandi,tehsil_appendix,Trimmed,1981/Orissa/1981 Kalahandi.pdf,1981 Kalahandi.pdf,Village/Town Directory volume,English or bilingual,"[445, 446, 447, 448]","[""358"", ""359"", null, null]",output/pdf/1981_trimmed/Orissa/tehsil appendix/1981_Kalahandi_tehsil_appendix.pdf,"Village Directory Appendix I Tahasil-wise abstract of educational, medical and other amenities; source page 444 is the section separator and source page 449 begins Appendix II.","[""manual_verified""]"
Orissa,Kendujhar,civic_amenities,Trimmed,"1981/Orissa/1981 Kendujhar,.pdf","1981 Kendujhar,.pdf",Village/Town Directory volume,English or bilingual,"[388, 389]","[""348"", ""349""]",output/pdf/1981_trimmed/Orissa/civic amenities/1981_Kendujhar_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 348-349; source page 390 begins Statement V.","[""manual_verified""]"
Orissa,Kendujhar,medical_educational_amenities,Trimmed,"1981/Orissa/1981 Kendujhar,.pdf","1981 Kendujhar,.pdf",Village/Town Directory volume,English or bilingual,"[390, 391]","[""350"", ""351""]",output/pdf/1981_trimmed/Orissa/mededu/1981_Kendujhar_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed pages 350-351; source page 392 begins Statement VI.","[""manual_verified""]"
Orissa,Kendujhar,tehsil_appendix,Trimmed,"1981/Orissa/1981 Kendujhar,.pdf","1981 Kendujhar,.pdf",Village/Town Directory volume,English or bilingual,"[330, 331, 332, 333]","[""290"", ""291"", ""292"", ""293""]",output/pdf/1981_trimmed/Orissa/tehsil appendix/1981_Kendujhar_tehsil_appendix.pdf,"Village Directory Appendix I Tahasil-wise abstract of educational, medical and other amenities; source page 329 is the section separator and source page 334 begins Appendix II.","[""manual_verified""]"
Orissa,Mayurbhanj,civic_amenities,Not trimmed,1981/Orissa/1981 Mayurbhanj.pdf,1981 Mayurbhanj.pdf,Village/Town Directory volume,English or bilingual,[],[],,Part XIII-B Village and Townwise Primary Census Abstract-only volume; no Village/Town Directory Statement IV.,"[""manual_absent_or_ineligible""]"
Orissa,Mayurbhanj,medical_educational_amenities,Not trimmed,1981/Orissa/1981 Mayurbhanj.pdf,1981 Mayurbhanj.pdf,Village/Town Directory volume,English or bilingual,[],[],,Part XIII-B Village and Townwise Primary Census Abstract-only volume; no Village/Town Directory Statement V.,"[""manual_absent_or_ineligible""]"
Orissa,Mayurbhanj,tehsil_appendix,Not trimmed,1981/Orissa/1981 Mayurbhanj.pdf,1981 Mayurbhanj.pdf,Village/Town Directory volume,English or bilingual,[],[],,Part XIII-B Village and Townwise Primary Census Abstract-only volume; no Village Directory Appendix I amenities abstract.,"[""manual_absent_or_ineligible""]"
