state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Punjab,Amritsar,civic_amenities,Trimmed,1981/Punjab/1981 Amritsar.pdf,1981 Amritsar.pdf,Village/Town Directory volume,English or bilingual,"[213, 214]","[null, null]",output/pdf/1981_trimmed/Punjab/civic amenities/1981_Amritsar_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source page 215 begins Statement V.,"[""manual_verified""]"
Punjab,Amritsar,medical_educational_amenities,Trimmed,1981/Punjab/1981 Amritsar.pdf,1981 Amritsar.pdf,Village/Town Directory volume,English or bilingual,"[215, 216]","[null, null]",output/pdf/1981_trimmed/Punjab/mededu/1981_Amritsar_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities; source page 217 begins Statement VI.","[""manual_verified""]"
Punjab,Amritsar,tehsil_appendix,Trimmed,1981/Punjab/1981 Amritsar.pdf,1981 Amritsar.pdf,Village/Town Directory volume,English or bilingual,"[163, 164]","[null, ""149""]",output/pdf/1981_trimmed/Punjab/tehsil appendix/1981_Amritsar_tehsil_appendix.pdf,"Village Directory Appendix I Tahsil-wise abstract of educational, medical and other amenities; source page 165 begins Appendix II.","[""manual_verified""]"
Punjab,Bathinda,civic_amenities,Trimmed,1981/Punjab/1981 Bathinda.pdf,1981 Bathinda.pdf,Village/Town Directory volume,English or bilingual,"[145, 146]","[""126"", ""127""]",output/pdf/1981_trimmed/Punjab/civic amenities/1981_Bathinda_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source page 147 begins Statement V.,"[""manual_verified""]"
Punjab,Bathinda,medical_educational_amenities,Trimmed,1981/Punjab/1981 Bathinda.pdf,1981 Bathinda.pdf,Village/Town Directory volume,English or bilingual,"[147, 148]","[""128"", null]",output/pdf/1981_trimmed/Punjab/mededu/1981_Bathinda_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities; source page 149 begins Statement VI.","[""manual_verified""]"
Punjab,Bathinda,tehsil_appendix,Trimmed,1981/Punjab/1981 Bathinda.pdf,1981 Bathinda.pdf,Village/Town Directory volume,English or bilingual,"[115, 116, 117, 118]","[null, null, ""98"", ""99""]",output/pdf/1981_trimmed/Punjab/tehsil appendix/1981_Bathinda_tehsil_appendix.pdf,"Village Directory Appendix I Tahsil-wise abstract of educational, medical and other amenities; source page 119 is blank/separator and source page 120 begins Appendix II.","[""manual_verified""]"
Punjab,Faridkot,civic_amenities,Trimmed,1981/Punjab/1981 Faridkot.pdf,1981 Faridkot.pdf,Village/Town Directory volume,English or bilingual,"[139, 140]","[""124"", ""125""]",output/pdf/1981_trimmed/Punjab/civic amenities/1981_Faridkot_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source pages 141-142 are Statement IV-A blank/notified slum pages and source page 143 begins Statement V.,"[""manual_verified""]"
Punjab,Faridkot,medical_educational_amenities,Trimmed,1981/Punjab/1981 Faridkot.pdf,1981 Faridkot.pdf,Village/Town Directory volume,English or bilingual,"[143, 144]","[""128"", null]",output/pdf/1981_trimmed/Punjab/mededu/1981_Faridkot_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities; source page 145 begins Statement VI.","[""manual_verified""]"
Punjab,Faridkot,tehsil_appendix,Trimmed,1981/Punjab/1981 Faridkot.pdf,1981 Faridkot.pdf,Village/Town Directory volume,English or bilingual,"[103, 104]","[null, null]",output/pdf/1981_trimmed/Punjab/tehsil appendix/1981_Faridkot_tehsil_appendix.pdf,"Village Directory Appendix I Tahsil-wise abstract of educational, medical and other amenities; source page 105 begins Appendix II.","[""manual_verified""]"
Punjab,Firozpur,civic_amenities,Trimmed,1981/Punjab/1981 Firozpur.pdf,1981 Firozpur.pdf,Village/Town Directory volume,English or bilingual,"[167, 168]","[""152"", null]",output/pdf/1981_trimmed/Punjab/civic amenities/1981_Firozpur_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source page 169 begins Statement V.,"[""manual_verified""]"
Punjab,Firozpur,medical_educational_amenities,Trimmed,1981/Punjab/1981 Firozpur.pdf,1981 Firozpur.pdf,Village/Town Directory volume,English or bilingual,"[169, 170]","[""154"", null]",output/pdf/1981_trimmed/Punjab/mededu/1981_Firozpur_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities; source page 171 begins Statement VI.","[""manual_verified""]"
Punjab,Firozpur,tehsil_appendix,Trimmed,1981/Punjab/1981 Firozpur.pdf,1981 Firozpur.pdf,Village/Town Directory volume,English or bilingual,"[137, 138]","[""122"", ""123""]",output/pdf/1981_trimmed/Punjab/tehsil appendix/1981_Firozpur_tehsil_appendix.pdf,"Village Directory Appendix I Tahsil-wise abstract of educational, medical and other amenities; source page 139 begins Appendix II.","[""manual_verified""]"
Punjab,Gurdaspur,civic_amenities,Trimmed,1981/Punjab/1981 Gurdaspur.pdf,1981 Gurdaspur.pdf,Village/Town Directory volume,English or bilingual,"[219, 220]","[null, null]",output/pdf/1981_trimmed/Punjab/civic amenities/1981_Gurdaspur_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source page 221 begins Statement IV-A.,"[""manual_verified""]"
Punjab,Gurdaspur,medical_educational_amenities,Trimmed,1981/Punjab/1981 Gurdaspur.pdf,1981 Gurdaspur.pdf,Village/Town Directory volume,English or bilingual,"[223, 224]","[""208"", ""209""]",output/pdf/1981_trimmed/Punjab/mededu/1981_Gurdaspur_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities; source page 225 begins Statement VI.","[""manual_verified""]"
Punjab,Gurdaspur,tehsil_appendix,Trimmed,1981/Punjab/1981 Gurdaspur.pdf,1981 Gurdaspur.pdf,Village/Town Directory volume,English or bilingual,"[181, 182]","[null, ""1""]",output/pdf/1981_trimmed/Punjab/tehsil appendix/1981_Gurdaspur_tehsil_appendix.pdf,"Village Directory Appendix I Tahsil-wise abstract of educational, medical and other amenities; source page 183 begins Appendix II.","[""manual_verified""]"
Punjab,Jalandhar,civic_amenities,Trimmed,1981/Punjab/1981 Jalandhar.pdf,1981 Jalandhar.pdf,Village/Town Directory volume,English or bilingual,"[204, 205]","[""184"", null]",output/pdf/1981_trimmed/Punjab/civic amenities/1981_Jalandhar_civic_amenities.pdf,Town Directory Statement IV Civic and Other Amenities; source pages 206-207 are blank/Statement IV-A and source page 208 begins Statement V.,"[""manual_verified""]"
