state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Rajasthan,Bhilwara,civic_amenities,Not trimmed,1981/Rajasthan/1981 Bhilwara.pdf,1981 Bhilwara.pdf,unclassified 1981 volume,English scan or image-only text,[],[],,Cover and opening pages do not establish an eligible directory volume.,[]
Rajasthan,Bhilwara,medical_educational_amenities,Not trimmed,1981/Rajasthan/1981 Bhilwara.pdf,1981 Bhilwara.pdf,unclassified 1981 volume,English scan or image-only text,[],[],,Cover and opening pages do not establish an eligible directory volume.,[]
Rajasthan,Bhilwara,tehsil_appendix,Not trimmed,1981/Rajasthan/1981 Bhilwara.pdf,1981 Bhilwara.pdf,unclassified 1981 volume,English scan or image-only text,[],[],,Cover and opening pages do not establish an eligible directory volume.,[]
Rajasthan,Bikaner,civic_amenities,Trimmed,1981/Rajasthan/1981 Bikaner.pdf,1981 Bikaner.pdf,Village/Town Directory volume,English or bilingual,"[230, 231]","[""104"", null]",output/pdf/1981_trimmed/Rajasthan/civic amenities/1981_Bikaner_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, 1979; source page 232 begins Statement V.","[""manual_verified""]"
Rajasthan,Bikaner,medical_educational_amenities,Trimmed,1981/Rajasthan/1981 Bikaner.pdf,1981 Bikaner.pdf,Village/Town Directory volume,English or bilingual,"[232, 233]","[""106"", null]",output/pdf/1981_trimmed/Rajasthan/mededu/1981_Bikaner_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, 1979; source page 234 begins Statement VI.","[""manual_verified""]"
Rajasthan,Bikaner,tehsil_appendix,Trimmed,1981/Rajasthan/1981 Bikaner.pdf,1981 Bikaner.pdf,Village/Town Directory volume,English or bilingual,"[206, 207, 208, 209]","[""80"", null, ""82"", ""83""]",output/pdf/1981_trimmed/Rajasthan/tehsil appendix/1981_Bikaner_tehsil_appendix.pdf,"Village Directory Appendix-I Tehsilwise abstract of Educational, Medical and other Amenities; source page 205 is the appendices separator and source page 210 begins Appendix-II.","[""manual_verified""]"
Rajasthan,Bundi,civic_amenities,Trimmed,1981/Rajasthan/1981 Bundi.pdf,1981 Bundi.pdf,Village/Town Directory volume,English or bilingual,"[231, 232]","[""112"", ""113""]",output/pdf/1981_trimmed/Rajasthan/civic amenities/1981_Bundi_civic_amenities.pdf,"Town Directory Statement IV Civic and other Amenities, 1979; source page 233 begins Statement V.","[""manual_verified""]"
Rajasthan,Bundi,medical_educational_amenities,Trimmed,1981/Rajasthan/1981 Bundi.pdf,1981 Bundi.pdf,Village/Town Directory volume,English or bilingual,"[233, 234]","[""114"", ""115""]",output/pdf/1981_trimmed/Rajasthan/mededu/1981_Bundi_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, 1979; source page 235 begins Statement VI.","[""manual_verified""]"
Rajasthan,Bundi,tehsil_appendix,Trimmed,1981/Rajasthan/1981 Bundi.pdf,1981 Bundi.pdf,Village/Town Directory volume,English or bilingual,"[201, 202, 203, 204]","[""82"", null, ""84"", ""85""]",output/pdf/1981_trimmed/Rajasthan/tehsil appendix/1981_Bundi_tehsil_appendix.pdf,"Village Directory Appendix-I Tehsil wise Abstract of Educational, Medical and other Amenities; source page 200 is the appendices separator and source page 205 begins Appendix-II.","[""manual_verified""]"
Rajasthan,Churu,civic_amenities,Not trimmed,1981/Rajasthan/1981 Churu.pdf,1981 Churu.pdf,unclassified 1981 volume,English scan or image-only text,[],[],,Cover and opening pages do not establish an eligible directory volume.,[]
Rajasthan,Churu,medical_educational_amenities,Not trimmed,1981/Rajasthan/1981 Churu.pdf,1981 Churu.pdf,unclassified 1981 volume,English scan or image-only text,[],[],,Cover and opening pages do not establish an eligible directory volume.,[]
Rajasthan,Churu,tehsil_appendix,Not trimmed,1981/Rajasthan/1981 Churu.pdf,1981 Churu.pdf,unclassified 1981 volume,English scan or image-only text,[],[],,Cover and opening pages do not establish an eligible directory volume.,[]
Rajasthan,Dungarpur,civic_amenities,Trimmed,1981/Rajasthan/1981 Dungarpur.pdf,1981 Dungarpur.pdf,Village/Town Directory volume,English or bilingual,"[231, 232]","[""120"", null]",output/pdf/1981_trimmed/Rajasthan/civic amenities/1981_Dungarpur_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, 1979; source page 233 begins Statement V.","[""manual_verified""]"
Rajasthan,Dungarpur,medical_educational_amenities,Trimmed,1981/Rajasthan/1981 Dungarpur.pdf,1981 Dungarpur.pdf,Village/Town Directory volume,English or bilingual,"[233, 234]","[""122"", ""123""]",output/pdf/1981_trimmed/Rajasthan/mededu/1981_Dungarpur_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, 1979; source page 235 begins Statement VI.","[""manual_verified""]"
Rajasthan,Dungarpur,tehsil_appendix,Trimmed,1981/Rajasthan/1981 Dungarpur.pdf,1981 Dungarpur.pdf,Village/Town Directory volume,English or bilingual,"[201, 202, 203, 204]","[""90"", ""91"", ""92"", ""93""]",output/pdf/1981_trimmed/Rajasthan/tehsil appendix/1981_Dungarpur_tehsil_appendix.pdf,"Village Directory Appendix-1 Tehsilwise abstract of Educational, Medical and other Amenities; source page 200 is the appendices separator and source page 205 begins Appendix-2.","[""manual_verified""]"
Rajasthan,Jaisalmer,civic_amenities,Trimmed,1981/Rajasthan/1981 Jalsalmer.pdf,1981 Jalsalmer.pdf,Village/Town Directory volume,English or bilingual,"[208, 209]","[""88"", ""89""]",output/pdf/1981_trimmed/Rajasthan/civic amenities/1981_Jaisalmer_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, 1979; source page 210 begins Statement V.","[""manual_verified""]"
Rajasthan,Jaisalmer,medical_educational_amenities,Trimmed,1981/Rajasthan/1981 Jalsalmer.pdf,1981 Jalsalmer.pdf,Village/Town Directory volume,English or bilingual,"[210, 211]","[""90"", ""91""]",output/pdf/1981_trimmed/Rajasthan/mededu/1981_Jaisalmer_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, 1979; source page 212 begins Statement VI.","[""manual_verified""]"
Rajasthan,Jaisalmer,tehsil_appendix,Trimmed,1981/Rajasthan/1981 Jalsalmer.pdf,1981 Jalsalmer.pdf,Village/Town Directory volume,English or bilingual,"[186, 187, 188, 189]","[""66"", ""67"", ""68"", ""69""]",output/pdf/1981_trimmed/Rajasthan/tehsil appendix/1981_Jaisalmer_tehsil_appendix.pdf,"Village Directory Appendix-I Tehsilwise abstract of Educational, Medical and other Amenities; source page 185 is the appendices separator and source page 190 begins Appendix-II.","[""manual_verified""]"
Rajasthan,Jalor,civic_amenities,Trimmed,1981/Rajasthan/1981 Jalor.pdf,1981 Jalor.pdf,Village/Town Directory volume,English or bilingual,"[241, 242]","[""114"", ""115""]",output/pdf/1981_trimmed/Rajasthan/civic amenities/1981_Jalor_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, 1979; source page 243 begins Statement V.","[""manual_verified""]"
Rajasthan,Jalor,medical_educational_amenities,Trimmed,1981/Rajasthan/1981 Jalor.pdf,1981 Jalor.pdf,Village/Town Directory volume,English or bilingual,"[243, 244]","[""116"", ""117""]",output/pdf/1981_trimmed/Rajasthan/mededu/1981_Jalor_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, 1979; source page 245 begins Statement VI.","[""manual_verified""]"
Rajasthan,Jalor,tehsil_appendix,Trimmed,1981/Rajasthan/1981 Jalor.pdf,1981 Jalor.pdf,Village/Town Directory volume,English or bilingual,"[211, 212, 213, 214]","[""84"", ""85"", null, ""81""]",output/pdf/1981_trimmed/Rajasthan/tehsil appendix/1981_Jalor_tehsil_appendix.pdf,"Village Directory Appendix-I Tehsilwise abstract of Educational, Medical and other Amenities; source page 210 is the appendices separator and source page 215 begins Appendix-II.","[""manual_verified""]"
Rajasthan,Jhunjhunun,civic_amenities,Trimmed,1981/Rajasthan/1981 Jhunjhunun.pdf,1981 Jhunjhunun.pdf,Village/Town Directory volume,English or bilingual,"[259, 260]","[""124"", null]",output/pdf/1981_trimmed/Rajasthan/civic amenities/1981_Jhunjhunun_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, 1979; source page 261 begins Statement V.","[""manual_verified""]"
Rajasthan,Jhunjhunun,medical_educational_amenities,Trimmed,1981/Rajasthan/1981 Jhunjhunun.pdf,1981 Jhunjhunun.pdf,Village/Town Directory volume,English or bilingual,"[261, 262, 263, 264]","[""126"", ""1979"", ""128"", ""129""]",output/pdf/1981_trimmed/Rajasthan/mededu/1981_Jhunjhunun_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, 1979; source page 265 begins Statement VI.","[""manual_verified""]"
