state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Tamil Nadu,Chengalpattu,civic_amenities,Trimmed,1981/Tamil Nadu/1981 Chengalpattu.pdf,1981 Chengalpattu.pdf,Village/Town Directory volume,English or bilingual,"[510, 511, 512, 513, 514, 515]","[""486"", null, ""488"", ""489"", null, null]",output/pdf/1981_trimmed/Tamil Nadu/civic amenities/1981_Chengalpattu_civic_amenities.pdf,Town Directory Statement IV; source page 516 begins Statement IV-A.,"[""manual_verified""]"
Tamil Nadu,Chengalpattu,medical_educational_amenities,Trimmed,1981/Tamil Nadu/1981 Chengalpattu.pdf,1981 Chengalpattu.pdf,Village/Town Directory volume,English or bilingual,"[522, 523, 524, 525, 526, 527, 528, 529, 530, 531]","[null, ""499"", null, ""501"", ""502"", null, ""504"", null, null, ""507""]",output/pdf/1981_trimmed/Tamil Nadu/mededu/1981_Chengalpattu_medical_educational_amenities.pdf,Town Directory Statement V; source page 532 begins Statement VI.,"[""manual_verified""]"
Tamil Nadu,Chengalpattu,tehsil_appendix,Trimmed,1981/Tamil Nadu/1981 Chengalpattu.pdf,1981 Chengalpattu.pdf,Village/Town Directory volume,English or bilingual,"[364, 365, 366]","[""340"", null, ""342""]",output/pdf/1981_trimmed/Tamil Nadu/tehsil appendix/1981_Chengalpattu_tehsil_appendix.pdf,Village Directory Appendix I; source page 367 begins Appendix II.,"[""manual_verified""]"
Tamil Nadu,Chennai,civic_amenities,Trimmed,1981/Tamil Nadu/1981 Chennai.pdf,1981 Chennai.pdf,Village/Town Directory volume,English or bilingual,"[91, 92, 93, 94, 95, 96]","[""76"", null, null, null, null, null]",output/pdf/1981_trimmed/Tamil Nadu/civic amenities/1981_Chennai_civic_amenities.pdf,Town Directory Statement IV; source page 97 begins Statement IV-A.,"[""manual_verified""]"
Tamil Nadu,Chennai,medical_educational_amenities,Trimmed,1981/Tamil Nadu/1981 Chennai.pdf,1981 Chennai.pdf,Village/Town Directory volume,English or bilingual,"[167, 168, 169, 170, 171, 172, 173, 174]","[""152"", null, ""154"", ""155"", ""156"", ""151"", null, null]",output/pdf/1981_trimmed/Tamil Nadu/mededu/1981_Chennai_medical_educational_amenities.pdf,Town Directory Statement V; source page 175 begins Statement VI.,"[""manual_verified""]"
Tamil Nadu,Chennai,tehsil_appendix,Not trimmed,1981/Tamil Nadu/1981 Chennai.pdf,1981 Chennai.pdf,Village/Town Directory volume,English or bilingual,[],[],,Town Directory-only Part XIII-A and B volume; no Village Directory or equivalent tehsil amenities appendix.,"[""manual_absent_or_ineligible""]"
Tamil Nadu,Coimbatore,civic_amenities,Trimmed,1981/Tamil Nadu/1981 Coimbatore.pdf,1981 Coimbatore.pdf,Village/Town Directory volume,English or bilingual,"[319, 320, 321, 322, 323, 324, 325, 326, 327]","[""304"", null, null, ""307"", ""308"", ""309"", ""310"", ""311"", ""312""]",output/pdf/1981_trimmed/Tamil Nadu/civic amenities/1981_Coimbatore_civic_amenities.pdf,Town Directory Statement IV; source page 329 begins Statement IV-A after the transition page.,"[""manual_verified""]"
Tamil Nadu,Coimbatore,medical_educational_amenities,Trimmed,1981/Tamil Nadu/1981 Coimbatore.pdf,1981 Coimbatore.pdf,Village/Town Directory volume,English or bilingual,"[333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346]","[""318"", ""319"", ""320"", ""321"", ""322"", ""323"", null, null, ""328"", null, ""328"", ""329"", ""330"", ""331""]",output/pdf/1981_trimmed/Tamil Nadu/mededu/1981_Coimbatore_medical_educational_amenities.pdf,Town Directory Statement V; source page 347 begins Statement VI.,"[""manual_verified""]"
Tamil Nadu,Coimbatore,tehsil_appendix,Trimmed,1981/Tamil Nadu/1981 Coimbatore.pdf,1981 Coimbatore.pdf,Village/Town Directory volume,English or bilingual,"[189, 190, 191, 192]","[""174"", ""176"", ""176"", ""117""]",output/pdf/1981_trimmed/Tamil Nadu/tehsil appendix/1981_Coimbatore_tehsil_appendix.pdf,Village Directory Appendix I; source page 193 begins Appendix II.,"[""manual_verified""]"
Tamil Nadu,Dharmapuri,civic_amenities,Trimmed,1981/Tamil Nadu/1981 Dharmapuri.pdf,1981 Dharmapuri.pdf,Village/Town Directory volume,English or bilingual,[364],[null],output/pdf/1981_trimmed/Tamil Nadu/civic amenities/1981_Dharmapuri_civic_amenities.pdf,Town Directory Statement IV; source page 365 begins Statement IV-A.,"[""manual_verified""]"
Tamil Nadu,Dharmapuri,medical_educational_amenities,Trimmed,1981/Tamil Nadu/1981 Dharmapuri.pdf,1981 Dharmapuri.pdf,Village/Town Directory volume,English or bilingual,"[366, 367]","[""337"", null]",output/pdf/1981_trimmed/Tamil Nadu/mededu/1981_Dharmapuri_medical_educational_amenities.pdf,Town Directory Statement V; source page 368 begins Statement VI.,"[""manual_verified""]"
