state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Uttar Pradesh,Agra,civic_amenities,Not trimmed,1981/Uttar Pradesh/1981 Agra.pdf,1981 Agra.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only urban volume; no Town Directory Statement IV.,"[""manual_absent_or_ineligible""]"
Uttar Pradesh,Agra,medical_educational_amenities,Not trimmed,1981/Uttar Pradesh/1981 Agra.pdf,1981 Agra.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only urban volume; no Town Directory Statement V.,"[""manual_absent_or_ineligible""]"
Uttar Pradesh,Agra,tehsil_appendix,Not trimmed,1981/Uttar Pradesh/1981 Agra.pdf,1981 Agra.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only urban volume; no Village Directory or equivalent tehsil amenities appendix.,"[""manual_absent_or_ineligible""]"
Uttar Pradesh,Aligarh,civic_amenities,Trimmed,1981/Uttar Pradesh/1981 Allgarh.pdf,1981 Allgarh.pdf,Village/Town Directory volume,English or bilingual,"[381, 382, 383, 384]","[null, ""337"", ""338"", ""339""]",output/pdf/1981_trimmed/Uttar Pradesh/civic amenities/1981_Aligarh_civic_amenities.pdf,Statement IV; source page 385 begins Statement IV-A.,"[""manual_verified""]"
Uttar Pradesh,Aligarh,medical_educational_amenities,Trimmed,1981/Uttar Pradesh/1981 Allgarh.pdf,1981 Allgarh.pdf,Village/Town Directory volume,English or bilingual,"[387, 388, 389, 390, 391, 392]","[""342"", ""343"", ""344"", null, ""346"", ""347""]",output/pdf/1981_trimmed/Uttar Pradesh/mededu/1981_Aligarh_medical_educational_amenities.pdf,Statement V; source page 393 begins Statement VI.,"[""manual_verified""]"
Uttar Pradesh,Aligarh,tehsil_appendix,Trimmed,1981/Uttar Pradesh/1981 Allgarh.pdf,1981 Allgarh.pdf,Village/Town Directory volume,English or bilingual,"[297, 298, 299, 300]","[null, ""253"", null, null]",output/pdf/1981_trimmed/Uttar Pradesh/tehsil appendix/1981_Aligarh_tehsil_appendix.pdf,Appendix I; source page 301 begins Appendix II.,"[""manual_verified""]"
Uttar Pradesh,Allahabad,civic_amenities,Trimmed,1981/Uttar Pradesh/1981 Allahabad.pdf,1981 Allahabad.pdf,Village/Town Directory volume,English or bilingual,"[741, 742, 743, 744]","[""690"", ""691"", ""692"", ""693""]",output/pdf/1981_trimmed/Uttar Pradesh/civic amenities/1981_Allahabad_civic_amenities.pdf,Statement IV; source page 745 begins Statement IV-A.,"[""manual_verified""]"
Uttar Pradesh,Allahabad,medical_educational_amenities,Trimmed,1981/Uttar Pradesh/1981 Allahabad.pdf,1981 Allahabad.pdf,Village/Town Directory volume,English or bilingual,"[747, 748, 749, 750, 751, 752]","[""696"", ""697"", ""698"", ""699"", ""700"", null]",output/pdf/1981_trimmed/Uttar Pradesh/mededu/1981_Allahabad_medical_educational_amenities.pdf,Statement V; source page 753 begins Statement VI.,"[""manual_verified""]"
Uttar Pradesh,Allahabad,tehsil_appendix,Trimmed,1981/Uttar Pradesh/1981 Allahabad.pdf,1981 Allahabad.pdf,Village/Town Directory volume,English or bilingual,"[577, 578, 579, 580]","[null, ""527"", null, ""529""]",output/pdf/1981_trimmed/Uttar Pradesh/tehsil appendix/1981_Allahabad_tehsil_appendix.pdf,Appendix I; source page 581 begins Appendix II.,"[""manual_verified""]"
Uttar Pradesh,Almora,civic_amenities,Trimmed,1981/Uttar Pradesh/1981 Almora.pdf,1981 Almora.pdf,Village/Town Directory volume,English or bilingual,"[609, 610]","[""1979"", null]",output/pdf/1981_trimmed/Uttar Pradesh/civic amenities/1981_Almora_civic_amenities.pdf,Statement IV; source page 611 begins Statement IV-A.,"[""manual_verified""]"
Uttar Pradesh,Almora,medical_educational_amenities,Trimmed,1981/Uttar Pradesh/1981 Almora.pdf,1981 Almora.pdf,Village/Town Directory volume,English or bilingual,"[613, 614]","[""560"", ""1979""]",output/pdf/1981_trimmed/Uttar Pradesh/mededu/1981_Almora_medical_educational_amenities.pdf,Statement V; source page 615 begins Statement VI.,"[""manual_verified""]"
Uttar Pradesh,Almora,tehsil_appendix,Not trimmed,1981/Uttar Pradesh/1981 Almora.pdf,1981 Almora.pdf,Village/Town Directory volume,English or bilingual,[],[],,"Appendices section begins with Appendix II; no Appendix I/Tahsilwise abstract of educational, medical and other amenities.","[""manual_absent_or_ineligible""]"
Uttar Pradesh,Azamgarh,civic_amenities,Trimmed,1981/Uttar Pradesh/1981 Azamgarh.pdf,1981 Azamgarh.pdf,Village/Town Directory volume,English or bilingual,"[958, 959, 960, 961]","[null, ""908"", null, ""910""]",output/pdf/1981_trimmed/Uttar Pradesh/civic amenities/1981_Azamgarh_civic_amenities.pdf,Statement IV; source page 962 begins Statement IV-A.,"[""manual_verified""]"
Uttar Pradesh,Azamgarh,medical_educational_amenities,Trimmed,1981/Uttar Pradesh/1981 Azamgarh.pdf,1981 Azamgarh.pdf,Village/Town Directory volume,English or bilingual,"[963, 964, 965, 966, 967, 968]","[""912"", ""913"", ""914"", null, ""916"", null]",output/pdf/1981_trimmed/Uttar Pradesh/mededu/1981_Azamgarh_medical_educational_amenities.pdf,Statement V; source page 969 begins Statement VI.,"[""manual_verified""]"
Uttar Pradesh,Azamgarh,tehsil_appendix,Trimmed,1981/Uttar Pradesh/1981 Azamgarh.pdf,1981 Azamgarh.pdf,Village/Town Directory volume,English or bilingual,"[769, 770, 771, 772]","[""718"", ""719"", null, null]",output/pdf/1981_trimmed/Uttar Pradesh/tehsil appendix/1981_Azamgarh_tehsil_appendix.pdf,Appendix I; source page 773 begins Appendix II.,"[""manual_verified""]"
Uttar Pradesh,Bahraich,civic_amenities,Trimmed,1981/Uttar Pradesh/1981 Bahraich.pdf,1981 Bahraich.pdf,Village/Town Directory volume,English or bilingual,"[396, 397, 398]","[null, null, null]",output/pdf/1981_trimmed/Uttar Pradesh/civic amenities/1981_Bahraich_civic_amenities.pdf,Statement IV; source page 399 begins Statement IV-A.,"[""manual_verified""]"
Uttar Pradesh,Bahraich,medical_educational_amenities,Trimmed,1981/Uttar Pradesh/1981 Bahraich.pdf,1981 Bahraich.pdf,Village/Town Directory volume,English or bilingual,"[400, 401]","[""354"", ""355""]",output/pdf/1981_trimmed/Uttar Pradesh/mededu/1981_Bahraich_medical_educational_amenities.pdf,Statement V; source page 402 begins Statement VI.,"[""manual_verified""]"
