state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
West Bengal,Bankura,civic_amenities,Trimmed,1981/West Bengal/1981 Bankura.pdf,1981 Bankura.pdf,Village/Town Directory volume,English or bilingual,"[644, 645]","[null, ""1979""]",output/pdf/1981_trimmed/West Bengal/civic amenities/1981_Bankura_civic_amenities.pdf,Statement IV; source page 646 begins Statement IV-A.,"[""manual_verified""]"
West Bengal,Bankura,medical_educational_amenities,Trimmed,1981/West Bengal/1981 Bankura.pdf,1981 Bankura.pdf,Village/Town Directory volume,English or bilingual,"[648, 649]","[null, null]",output/pdf/1981_trimmed/West Bengal/mededu/1981_Bankura_medical_educational_amenities.pdf,Statement V; source page 650 begins Statement VI.,"[""manual_verified""]"
West Bengal,Bankura,tehsil_appendix,Trimmed,1981/West Bengal/1981 Bankura.pdf,1981 Bankura.pdf,Village/Town Directory volume,English or bilingual,"[552, 553, 554, 555]","[null, ""539"", null, null]",output/pdf/1981_trimmed/West Bengal/tehsil appendix/1981_Bankura_tehsil_appendix.pdf,Appendix I Village Police Station-wise abstract; source page 556 begins Appendix II.,"[""manual_verified""]"
West Bengal,Barddhaman,civic_amenities,Trimmed,1981/West Bengal/1981 Barddhaman.pdf,1981 Barddhaman.pdf,Village/Town Directory volume,English or bilingual,"[547, 548, 549, 550, 551, 552, 553, 554, 555, 556]","[""536"", ""537"", ""538"", ""539"", ""5400"", null, ""542"", ""543"", null, null]",output/pdf/1981_trimmed/West Bengal/civic amenities/1981_Barddhaman_civic_amenities.pdf,Statement IV; source page 557 begins Statement IV-A.,"[""manual_verified""]"
West Bengal,Barddhaman,medical_educational_amenities,Trimmed,1981/West Bengal/1981 Barddhaman.pdf,1981 Barddhaman.pdf,Village/Town Directory volume,English or bilingual,"[559, 560, 561, 562, 563, 564, 565, 566, 567, 568, 569, 570]","[null, null, null, ""551"", ""552"", null, ""554"", null, null, null, null, ""559""]",output/pdf/1981_trimmed/West Bengal/mededu/1981_Barddhaman_medical_educational_amenities.pdf,Statement V; source page 571 begins Statement VI.,"[""manual_verified""]"
West Bengal,Barddhaman,tehsil_appendix,Trimmed,1981/West Bengal/1981 Barddhaman.pdf,1981 Barddhaman.pdf,Village/Town Directory volume,English or bilingual,"[441, 442, 443, 444]","[""430"", ""431"", null, null]",output/pdf/1981_trimmed/West Bengal/tehsil appendix/1981_Barddhaman_tehsil_appendix.pdf,Appendix I Village Police Station-wise abstract; source page 445 begins Appendix II.,"[""manual_verified""]"
West Bengal,Birbhum,civic_amenities,Trimmed,1981/West Bengal/1981 Birbhum.pdf,1981 Birbhum.pdf,Village/Town Directory volume,English or bilingual,"[420, 421]","[""408"", null]",output/pdf/1981_trimmed/West Bengal/civic amenities/1981_Birbhum_civic_amenities.pdf,Statement IV; source page 422 begins Statement V.,"[""manual_verified""]"
West Bengal,Birbhum,medical_educational_amenities,Trimmed,1981/West Bengal/1981 Birbhum.pdf,1981 Birbhum.pdf,Village/Town Directory volume,English or bilingual,"[422, 423]","[""410"", null]",output/pdf/1981_trimmed/West Bengal/mededu/1981_Birbhum_medical_educational_amenities.pdf,Statement V; source page 424 begins Statement VI.,"[""manual_verified""]"
West Bengal,Birbhum,tehsil_appendix,Trimmed,1981/West Bengal/1981 Birbhum.pdf,1981 Birbhum.pdf,Village/Town Directory volume,English or bilingual,"[342, 343, 344, 345]","[""330"", ""331"", ""332"", ""333""]",output/pdf/1981_trimmed/West Bengal/tehsil appendix/1981_Birbhum_tehsil_appendix.pdf,Appendix I Village Police Station-wise abstract; source page 346 begins Appendix II.,"[""manual_verified""]"
West Bengal,Calcutta,civic_amenities,Not trimmed,1981/West Bengal/1981 Calcutta.pdf,1981 Calcutta.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Calcutta,medical_educational_amenities,Not trimmed,1981/West Bengal/1981 Calcutta.pdf,1981 Calcutta.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Calcutta,tehsil_appendix,Not trimmed,1981/West Bengal/1981 Calcutta.pdf,1981 Calcutta.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Darjiling,civic_amenities,Trimmed,1981/West Bengal/1981 Darjiling.pdf,1981 Darjiling.pdf,Village/Town Directory volume,English or bilingual,"[206, 207]","[null, null]",output/pdf/1981_trimmed/West Bengal/civic amenities/1981_Darjiling_civic_amenities.pdf,Statement IV; source page 208 begins Statement V.,"[""manual_verified""]"
West Bengal,Darjiling,medical_educational_amenities,Trimmed,1981/West Bengal/1981 Darjiling.pdf,1981 Darjiling.pdf,Village/Town Directory volume,English or bilingual,"[208, 209]","[null, ""197""]",output/pdf/1981_trimmed/West Bengal/mededu/1981_Darjiling_medical_educational_amenities.pdf,Statement V; source page 210 begins Statement VI.,"[""manual_verified""]"
West Bengal,Darjiling,tehsil_appendix,Trimmed,1981/West Bengal/1981 Darjiling.pdf,1981 Darjiling.pdf,Village/Town Directory volume,English or bilingual,"[170, 171, 172, 173]","[null, null, ""160"", ""1""]",output/pdf/1981_trimmed/West Bengal/tehsil appendix/1981_Darjiling_tehsil_appendix.pdf,Appendix I Village Police Station-wise abstract; source page 174 begins Appendix II.,"[""manual_verified""]"
West Bengal,Dinajpur,civic_amenities,Trimmed,1981/West Bengal/1981 Dinajpur.pdf,1981 Dinajpur.pdf,Village/Town Directory volume,English or bilingual,"[548, 549]","[""536"", ""537""]",output/pdf/1981_trimmed/West Bengal/civic amenities/1981_Dinajpur_civic_amenities.pdf,Statement IV; source page 550 begins Statement IV-A.,"[""manual_verified""]"
West Bengal,Dinajpur,medical_educational_amenities,Trimmed,1981/West Bengal/1981 Dinajpur.pdf,1981 Dinajpur.pdf,Village/Town Directory volume,English or bilingual,"[552, 553]","[""540"", ""541""]",output/pdf/1981_trimmed/West Bengal/mededu/1981_Dinajpur_medical_educational_amenities.pdf,Statement V; source page 554 begins Statement VI.,"[""manual_verified""]"
West Bengal,Dinajpur,tehsil_appendix,Trimmed,1981/West Bengal/1981 Dinajpur.pdf,1981 Dinajpur.pdf,Village/Town Directory volume,English or bilingual,"[442, 443, 444, 445]","[""436"", null, null, ""433""]",output/pdf/1981_trimmed/West Bengal/tehsil appendix/1981_Dinajpur_tehsil_appendix.pdf,Appendix I Village Police Station-wise abstract; source page 446 begins Appendix II.,"[""manual_verified""]"
West Bengal,Hugli,civic_amenities,Not trimmed,1981/West Bengal/1981 Hugli.pdf,1981 Hugli.pdf,PCA-only / non-directory volume,English or bilingual,[],[],,Part XIII Village & Town-wise Primary Census Abstract volume; contents show no Town Directory or Statement IV.,"[""manual_absent_or_ineligible""]"
West Bengal,Hugli,medical_educational_amenities,Not trimmed,1981/West Bengal/1981 Hugli.pdf,1981 Hugli.pdf,PCA-only / non-directory volume,English or bilingual,[],[],,Part XIII Village & Town-wise Primary Census Abstract volume; contents show no Town Directory or Statement V.,"[""manual_absent_or_ineligible""]"
West Bengal,Hugli,tehsil_appendix,Not trimmed,1981/West Bengal/1981 Hugli.pdf,1981 Hugli.pdf,PCA-only / non-directory volume,English or bilingual,[],[],,Part XIII Village & Town-wise Primary Census Abstract volume; contents show no amenities appendix.,"[""manual_absent_or_ineligible""]"
West Bengal,Jalapiguri,civic_amenities,Not trimmed,1981/West Bengal/1981 Jalapiguri.pdf,1981 Jalapiguri.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Jalapiguri,medical_educational_amenities,Not trimmed,1981/West Bengal/1981 Jalapiguri.pdf,1981 Jalapiguri.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Jalapiguri,tehsil_appendix,Not trimmed,1981/West Bengal/1981 Jalapiguri.pdf,1981 Jalapiguri.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Koch Bihar,civic_amenities,Not trimmed,1981/West Bengal/1981 Koch Bihar.pdf,1981 Koch Bihar.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Koch Bihar,medical_educational_amenities,Not trimmed,1981/West Bengal/1981 Koch Bihar.pdf,1981 Koch Bihar.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Koch Bihar,tehsil_appendix,Not trimmed,1981/West Bengal/1981 Koch Bihar.pdf,1981 Koch Bihar.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Maldah,civic_amenities,Not trimmed,1981/West Bengal/1981 Maldah.pdf,1981 Maldah.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Maldah,medical_educational_amenities,Not trimmed,1981/West Bengal/1981 Maldah.pdf,1981 Maldah.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Maldah,tehsil_appendix,Not trimmed,1981/West Bengal/1981 Maldah.pdf,1981 Maldah.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Midnapore,civic_amenities,Trimmed,1981/West Bengal/1981 Midnapore.pdf,1981 Midnapore.pdf,Village/Town Directory volume,English or bilingual,"[1820, 1821, 1822, 1823]","[null, ""1807"", null, null]",output/pdf/1981_trimmed/West Bengal/civic amenities/1981_Midnapore_civic_amenities.pdf,Statement IV; source page 1824 begins Statement IV-A.,"[""manual_verified""]"
West Bengal,Midnapore,medical_educational_amenities,Trimmed,1981/West Bengal/1981 Midnapore.pdf,1981 Midnapore.pdf,Village/Town Directory volume,English or bilingual,"[1826, 1827, 1828, 1829]","[""1812"", ""1813"", ""1814"", null]",output/pdf/1981_trimmed/West Bengal/mededu/1981_Midnapore_medical_educational_amenities.pdf,Statement V; source page 1830 begins Statement VI.,"[""manual_verified""]"
