state,source_state,district,source,source_path,source_filename,census_year,volume_type,eligible,eligibility_reason,language_status,language_reason,source_pages,source_size_bytes,source_sha256
Andra Pradesh,Andra Pradesh,Adilabad,1981/Andra Pradesh/1981 Adilabad.pdf,F:\1981-20260725T131905Z-1-001\1981\Andra Pradesh\1981 Adilabad.pdf,1981 Adilabad.pdf,1981,Village/Town Directory volume,True,Directory volume contains or may contain the requested table groups.,English or bilingual,Opening pages contain English directory or publication signals.,574,13315408,6580036490dd6f2aa669ac725e91854f0cb6eb4d6656582bfb8d179cbde2cadc
Andra Pradesh,Andra Pradesh,Anantapur,1981/Andra Pradesh/1981 Anantapur.pdf,F:\1981-20260725T131905Z-1-001\1981\Andra Pradesh\1981 Anantapur.pdf,1981 Anantapur.pdf,1981,Village/Town Directory volume,True,Directory volume contains or may contain the requested table groups.,English or bilingual,Opening pages contain English directory or publication signals.,600,12756672,74246197bea5ced0d61ded988950e51aad47a18e12bb92477a8f6ce4814d750b
Andra Pradesh,Andra Pradesh,Chittoor,1981/Andra Pradesh/1981 Chittoor.pdf,F:\1981-20260725T131905Z-1-001\1981\Andra Pradesh\1981 Chittoor.pdf,1981 Chittoor.pdf,1981,Village/Town Directory volume,True,Directory volume contains or may contain the requested table groups.,English or bilingual,Opening pages contain English directory or publication signals.,816,21739834,dc1385e8b2bd44a468a2f7d5c2b5579c2ec39d145e6223fc3927c452ee682382
Andra Pradesh,Andra Pradesh,Cuddapah,1981/Andra Pradesh/1981 Cuddapah.pdf,F:\1981-20260725T131905Z-1-001\1981\Andra Pradesh\1981 Cuddapah.pdf,1981 Cuddapah.pdf,1981,Village/Town Directory volume,True,Directory volume contains or may contain the requested table groups.,English or bilingual,Opening pages contain English directory or publication signals.,555,40595797,c6807c3ddecc01c67575e6572530ef0bd630e36fe91b514692bc6b02f6f70b24
Andra Pradesh,Andra Pradesh,East Godavari,1981/Andra Pradesh/1981 East Godavari.pdf,F:\1981-20260725T131905Z-1-001\1981\Andra Pradesh\1981 East Godavari.pdf,1981 East Godavari.pdf,1981,Village/Town Directory volume,True,Directory volume contains or may contain the requested table groups.,English or bilingual,Opening pages contain English directory or publication signals.,763,17857021,5ebb51eb733cbcc5028473f0083a727392387de02dbcc58cf0d8ad5011b72fe6
Andra Pradesh,Andra Pradesh,Guntur,1981/Andra Pradesh/1981 Guntur.pdf,F:\1981-20260725T131905Z-1-001\1981\Andra Pradesh\1981 Guntur.pdf,1981 Guntur.pdf,1981,Village/Town Directory volume,True,Directory volume contains or may contain the requested table groups.,English or bilingual,Opening pages contain English directory or publication signals.,660,14474554,08be3267d09a90a1b134fbedb6d4430cda5856b885d1125b590bbdd2d5241d38
Andra Pradesh,Andra Pradesh,Hyderabad,1981/Andra Pradesh/1981 Hyderabad.pdf,F:\1981-20260725T131905Z-1-001\1981\Andra Pradesh\1981 Hyderabad.pdf,1981 Hyderabad.pdf,1981,Village/Town Directory volume,True,Directory volume contains or may contain the requested table groups.,English or bilingual,Opening pages contain English directory or publication signals.,488,11632893,7f74f555b2604031b6d67628218d81d8c7dfee053a051de9a4ca4f06c4977274
Andra Pradesh,Andra Pradesh,Karimnagar,1981/Andra Pradesh/1981 Karimnagar.pdf,F:\1981-20260725T131905Z-1-001\1981\Andra Pradesh\1981 Karimnagar.pdf,1981 Karimnagar.pdf,1981,Village/Town Directory volume,True,Directory volume contains or may contain the requested table groups.,English or bilingual,Opening pages contain English directory or publication signals.,556,13452083,1507d592694af40414f1a613e3b33962c9cea75799bf84ebadb85cfaed15c9e4
Andra Pradesh,Andra Pradesh,Khammam,1981/Andra Pradesh/1981 Khammam.pdf,F:\1981-20260725T131905Z-1-001\1981\Andra Pradesh\1981 Khammam.pdf,1981 Khammam.pdf,1981,Village/Town Directory volume,True,Directory volume contains or may contain the requested table groups.,English or bilingual,Opening pages contain English directory or publication signals.,513,18150228,4d007984b92da9de317f1f3dc09ddd98c7989f0680341a83718b70de518b1a28
Andra Pradesh,Andra Pradesh,Krishna,1981/Andra Pradesh/1981 Krishna.pdf,F:\1981-20260725T131905Z-1-001\1981\Andra Pradesh\1981 Krishna.pdf,1981 Krishna.pdf,1981,Village/Town Directory volume,True,Directory volume contains or may contain the requested table groups.,English or bilingual,Opening pages contain English directory or publication signals.,623,14170661,e0ee89cc76ccb1553922df627f16132b9926dd023ce04f74dfc55dac332de1e7
