state,category,table,filename,destination,sha256,page_count
Andra Pradesh,civic amenities,civic_amenities,1981_Adilabad_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Adilabad_civic_amenities.pdf,15bd51b641ad1a9b7d4897614895afb9390dd0b1ec08499f2ef24ec64b72d8fa,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Adilabad_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Adilabad_medical_educational_amenities.pdf,188db844f5b2104ca4b5d62a7b71ef737752e19635fbd3d2f9b78fb0f6f9932f,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Adilabad_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Adilabad_tehsil_appendix.pdf,1f8bd8823e65a94614f4c06e696acf3cac7e2b4c7e7572ffaabc859b61c83cc6,4
Andra Pradesh,civic amenities,civic_amenities,1981_Anantapur_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Anantapur_civic_amenities.pdf,1f1c2d917fb1a04e4cc7b19a7678717970f22d7cc8f0efcbffe18befdf1a9e2b,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Anantapur_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Anantapur_medical_educational_amenities.pdf,2cd9a5bcea71323bfe8151492cbe81b6ec5188bd27c39965db70ed5fff2ba3e2,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Anantapur_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Anantapur_tehsil_appendix.pdf,542fd345aee8b5c15f1bd6ef113ae5d7dfeee4f1067fa21727b32e355b120c3b,4
Andra Pradesh,civic amenities,civic_amenities,1981_Chittoor_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Chittoor_civic_amenities.pdf,5d90be34eadab747458b0c3734bb5fced0e596fed70fe003ddfabae8107ee318,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Chittoor_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Chittoor_medical_educational_amenities.pdf,802c078c93c2a0e37d1ac58f09d7a39c6365a73bc99162c51563e515eb72e91e,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Chittoor_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Chittoor_tehsil_appendix.pdf,d544d546522db347d406372818c2857bc49ea76694df9392b5ba5c158f5d7707,4
Andra Pradesh,civic amenities,civic_amenities,1981_Cuddapah_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Cuddapah_civic_amenities.pdf,1cb247b0eeba16bcdcb443da6595072f99a09bcb5a33cb645c46176350cc578b,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Cuddapah_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Cuddapah_medical_educational_amenities.pdf,62ce9399cb44919fb891a4a180508b61285e34f6cd34fb037a56d9b5b75a9085,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Cuddapah_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Cuddapah_tehsil_appendix.pdf,ddb5f551eadddce6de29ade9f217929784be968c2ece8c691d957f60be3b26e3,4
Andra Pradesh,civic amenities,civic_amenities,1981_East Godavari_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_East Godavari_civic_amenities.pdf,07076f44ef9d1c0b4d3af6a63a4bdd8eb92a8c8301515d5a76accdf309406c7f,2
Andra Pradesh,mededu,medical_educational_amenities,1981_East Godavari_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_East Godavari_medical_educational_amenities.pdf,8595840c3674dd9830a420ad5f82a04014350b2e3adb98a8cb941d10c63d22c2,4
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_East Godavari_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_East Godavari_tehsil_appendix.pdf,8b4f3f70b0828e43380f93bc31d318cf20225199f784787cecb44030ee7a22ff,4
Andra Pradesh,civic amenities,civic_amenities,1981_Guntur_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Guntur_civic_amenities.pdf,a4d4e1a1edf33d1abaf9326c755de64f51df7a8d5d6860919cceb23f553540d4,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Guntur_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Guntur_medical_educational_amenities.pdf,f3f9482106ec2000e2a84af40c8897efb9673a87dd2b662fea25235c28db4035,4
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Guntur_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Guntur_tehsil_appendix.pdf,6d3022714ff4849d59554a167b53c8891044e1a01d7d0aef4f0b6512d4efb1b1,4
Andra Pradesh,civic amenities,civic_amenities,1981_Hyderabad_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Hyderabad_civic_amenities.pdf,d372f5948dfce85a9319c51a29c06fa1d3022476c37014cb24faf1143562792c,4
Andra Pradesh,mededu,medical_educational_amenities,1981_Hyderabad_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Hyderabad_medical_educational_amenities.pdf,af039b9ad9267126f0592192809d47d9c7d70db288e2690fdfac5d9fe5d9192d,4
Andra Pradesh,civic amenities,civic_amenities,1981_Karimnagar_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Karimnagar_civic_amenities.pdf,eaa5e63829a58d9f348bffd66fdec1a54be48d217fb5e8cdd92729431d6e9bbc,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Karimnagar_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Karimnagar_medical_educational_amenities.pdf,40252c4ff6f6c786fe0c72b550ed2c410cb3623f5e1f57cf414b0cf4a18251d1,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Karimnagar_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Karimnagar_tehsil_appendix.pdf,b2a568e49c2ea075a168992e65926121276e28d10ee86c7949bee5c7984bcb50,4
Andra Pradesh,civic amenities,civic_amenities,1981_Khammam_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Khammam_civic_amenities.pdf,c7d8149005bc5c9906a52ff216f9571eb827e6fde93c49f025fba050dc7b1237,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Khammam_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Khammam_medical_educational_amenities.pdf,3d293223f5256abf63524a3fabe6c567d16fd0df5f2306ba1d9ece810a8fa416,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Khammam_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Khammam_tehsil_appendix.pdf,db61ef16be704fbf864555a71503e055575d7cf0fb7159a26f7a17a960c4df28,4
Andra Pradesh,civic amenities,civic_amenities,1981_Krishna_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Krishna_civic_amenities.pdf,8d38ee729f09b94454128a2e2dd82fd776998d338bde9afa83454c56475ff6d4,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Krishna_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Krishna_medical_educational_amenities.pdf,0993e0cee01c51d169bd600e2712bc191ab611632bc15ac0485b8901876e9882,4
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Krishna_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Krishna_tehsil_appendix.pdf,a7b9b79d6a24911d4301593aa2e2630b298dba1a79f085fee439a3c083403124,4
Andra Pradesh,civic amenities,civic_amenities,1981_Kurnool_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Kurnool_civic_amenities.pdf,8ab0297b93468749fefec39dab4064dc734e7f94bea9b8832e0f0e7181eaea3c,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Kurnool_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Kurnool_medical_educational_amenities.pdf,81b32de038984742c5b6d13bd22dacc80de7c67e792f4c7ea112ad0272da6aa5,2
