table_id,pdf_id,format_id,anchor_page,continuation_page,anchor_printed_page,continuation_printed_page
agra_civic_001,agra_civic_1971,format_001,1,2,10,11
agra_mededu_001,agra_mededu_1971,format_002,1,2,12,13
agra_tehsil_001,agra_tehsil_1971,format_003,1,2,152,153
aligarh_civic_001,aligarh_civic_1971,format_001,1,2,6,7
aligarh_mededu_001,aligarh_mededu_1971,format_002,1,2,8,9
aligarh_tehsil_001,aligarh_tehsil_1971,format_003,1,2,196,197
allahabad_civic_001,allahabad_civic_1971,format_001,1,2,6,7
allahabad_mededu_001,allahabad_mededu_1971,format_002,1,2,8,9
allahabad_tehsil_001,allahabad_tehsil_1971,format_003,1,2,394,395
almora_civic_001,almora_civic_1971,format_001,1,2,6,7
almora_mededu_001,almora_mededu_1971,format_002,1,2,6,7
almora_tehsil_001,almora_tehsil_1971,format_003,1,2,318,319
azamgarh_civic_001,azamgarh_civic_1971,format_001,1,2,6,7
azamgarh_mededu_001,azamgarh_mededu_1971,format_002,1,2,8,9
azamgarh_tehsil_001,azamgarh_tehsil_1971,format_003,1,2,532,533
bahraich_civic_001,bahraich_civic_1971,format_001,1,2,,
bahraich_mededu_001,bahraich_mededu_1971,format_002,1,2,,
bahraich_tehsil_001,bahraich_tehsil_1971,format_003,1,2,,
baliya_civic_001,baliya_civic_1971,format_001,1,2,,
baliya_mededu_001,baliya_mededu_1971,format_002,1,2,,
baliya_tehsil_001,baliya_tehsil_1971,format_003,1,2,,
banda_civic_001,banda_civic_1971,format_001,1,2,,
banda_mededu_001,banda_mededu_1971,format_002,1,2,,
banda_tehsil_001,banda_tehsil_1971,format_003,1,2,,
bara_banki_civic_001,bara_banki_civic_1971,format_001,1,2,6,7
bara_banki_mededu_001,bara_banki_mededu_1971,format_002,1,2,8,9
bara_banki_tehsil_001,bara_banki_tehsil_1971,format_003,1,2,210,211
bareilly_civic_001,bareilly_civic_1971,format_001,1,2,,
bareilly_mededu_001,bareilly_mededu_1971,format_002,1,2,,
bareilly_tehsil_001,bareilly_tehsil_1971,format_003,1,2,,
basti_civic_001,basti_civic_1971,format_001,1,2,6,7
basti_mededu_001,basti_mededu_1971,format_002,1,2,8,9
basti_tehsil_001,basti_tehsil_1971,format_003,1,2,706,707
bijnor_civic_001,bijnor_civic_1971,format_001,1,2,,
bijnor_mededu_001,bijnor_mededu_1971,format_002,1,2,,
bijnor_tehsil_001,bijnor_tehsil_1971,format_003,1,2,,
budaun_civic_001,budaun_civic_1971,format_001,1,2,6,7
budaun_mededu_001,budaun_mededu_1971,format_002,1,2,8,9
budaun_tehsil_001,budaun_tehsil_1971,format_003,1,2,218,219
bulandshahr_civic_001,bulandshahr_civic_1971,format_001,1,2,,
bulandshahr_mededu_001,bulandshahr_mededu_1971,format_002,1,2,,
bulandshahr_tehsil_001,bulandshahr_tehsil_1971,format_003,1,2,,
chamoli_civic_001,chamoli_civic_1971,format_001,1,2,6,7
chamoli_mededu_001,chamoli_mededu_1971,format_002,1,2,6,7
chamoli_tehsil_001,chamoli_tehsil_1971,format_003,1,2,154,155
dehra_dun_civic_001,dehra_dun_civic_1971,format_001,1,2,,
dehra_dun_mededu_001,dehra_dun_mededu_1971,format_002,1,2,,
dehra_dun_tehsil_001,dehra_dun_tehsil_1971,format_003,1,2,,
deoria_civic_001,deoria_civic_1971,format_001,1,2,6,7
deoria_mededu_001,deoria_mededu_1971,format_002,1,2,6,7
deoria_tehsil_001,deoria_tehsil_1971,format_003,1,2,364,365
etah_civic_001,etah_civic_1971,format_001,1,2,,
etah_mededu_001,etah_mededu_1971,format_002,1,2,,
etah_tehsil_001,etah_tehsil_1971,format_003,1,2,,
etawah_civic_001,etawah_civic_1971,format_001,1,2,,
etawah_mededu_001,etawah_mededu_1971,format_002,1,2,,
etawah_tehsil_001,etawah_tehsil_1971,format_003,1,2,,
faizabad_civic_001,faizabad_civic_1971,format_001,1,2,,
faizabad_mededu_001,faizabad_mededu_1971,format_002,1,2,,
faizabad_tehsil_001,faizabad_tehsil_1971,format_003,1,2,,
farrukhabad_civic_001,farrukhabad_civic_1971,format_001,1,2,,
farrukhabad_mededu_001,farrukhabad_mededu_1971,format_002,1,2,,
farrukhabad_tehsil_001,farrukhabad_tehsil_1971,format_003,1,2,,
fatehpur_civic_001,fatehpur_civic_1971,format_001,1,2,,
fatehpur_mededu_001,fatehpur_mededu_1971,format_002,1,2,,
fatehpur_tehsil_001,fatehpur_tehsil_1971,format_003,1,2,,
garhwal_civic_001,garhwal_civic_1971,format_001,1,2,6,7
garhwal_mededu_001,garhwal_mededu_1971,format_002,1,2,8,9
garhwal_tehsil_001,garhwal_tehsil_1971,format_003,1,2,336,337
gonda_civic_001,gonda_civic_1971,format_001,1,2,6,7
gonda_mededu_001,gonda_mededu_1971,format_002,1,2,6,7
gonda_tehsil_001,gonda_tehsil_1971,format_003,1,2,276,277
gorakhpur_civic_001,gorakhpur_civic_1971,format_001,1,2,6,7
gorakhpur_mededu_001,gorakhpur_mededu_1971,format_002,1,2,6,7
gorakhpur_tehsil_001,gorakhpur_tehsil_1971,format_003,1,2,434,435
hamirpur_civic_001,hamirpur_civic_1971,format_001,1,2,,
hamirpur_mededu_001,hamirpur_mededu_1971,format_002,1,2,,
hamirpur_tehsil_001,hamirpur_tehsil_1971,format_003,1,2,,
hardoi_civic_001,hardoi_civic_1971,format_001,1,2,,
